# F(k,t) correlation function
# Reference time: 0.000 ps
# lag_time_ps	F(k,t)
0.000000	926.68170979
1.000012	734.93097399
2.000018	773.42006653
3.000037	713.48490058
4.000037	737.56248388
5.000039	776.45909041
6.000053	710.60947934
7.000061	709.69565168
8.000062	491.23431698
9.000071	524.28637068
10.000087	534.06310215
11.000155	537.86683846
12.000176	558.98959227
13.000200	489.98832362
14.000210	505.68286028
15.000239	534.33356721
16.000309	514.80542367
17.000350	592.67036107
18.000357	536.49645085
19.000374	501.99203723
20.000374	400.61606521
21.000394	453.84584822
22.000404	525.35320817
23.000407	556.72843341
24.000419	538.55589692
25.000445	444.45222529
26.000448	416.18658905
27.000456	393.10808635
28.000460	444.26158689
29.000479	453.48925597
30.000543	488.91237888
31.000551	483.85115379
32.000561	500.71222562
33.000565	435.05468892
34.000591	415.33570017
35.000594	440.87245307
36.000602	421.57796849
37.000614	498.29942428
38.000630	440.66999757
39.000651	373.54915933
40.000662	395.49676607
41.000663	340.15369365
42.000667	312.03938585
43.000682	384.53511167
44.000704	360.78751615
45.000743	391.89274074
46.000760	441.67646422
47.000772	386.38353468
48.000781	301.81245681
49.000790	323.07917163
50.000791	415.23934944
51.000796	409.24675641
52.000800	356.04228994
53.000863	390.84724658
54.000898	328.51209358
55.000898	386.10799113
56.000902	402.86737696
57.000910	279.41481930
58.000911	331.80936477
59.000928	395.26899520
60.000942	321.98714285
61.000962	289.07697852
62.000968	334.11479898
63.000995	361.13607287
64.001006	380.72725867
65.001018	348.07282252
66.001022	374.00699204
67.001036	307.83858801
68.001051	374.04670199
69.001060	408.35683758
70.001100	411.96556824
71.001110	366.19899722
72.001141	405.11620996
73.001189	333.82303753
74.001206	461.55636498
75.001212	426.58558883
76.001216	386.28047130
77.001299	381.35565595
78.001321	377.85184949
79.001324	337.21108817
80.001334	323.38738519
81.001343	331.42151265
82.001382	329.28682946
83.001390	256.96702527
84.001415	227.11522513
85.001417	364.96237826
86.001447	340.29401386
87.001490	350.71870091
88.001496	272.23089815
89.001505	339.73019141
90.001519	347.06211150
91.001529	303.62666669
92.001564	220.09046387
93.001603	290.65873115
94.001612	252.84803629
95.001626	226.62653903
96.001630	327.57873444
97.001642	366.31391469
98.001647	257.71289821
99.001655	361.41745906
100.001666	304.76049447
101.001679	369.11009463
102.001680	333.28861967
103.001682	415.81886206
104.001690	426.93023124
105.001700	343.54583063
106.001711	378.97447226
107.001716	439.73042737
108.001733	384.66778892
109.001735	352.95202460
110.001758	391.37228380
111.001778	266.82335288
112.001788	329.14230002
113.001798	351.56296265
114.001883	263.67837365
115.001900	261.94284925
116.001926	272.68520015
117.001931	205.45275170
118.001963	171.37748801
119.001974	255.02541554
120.001987	297.08253536
121.001992	364.55417081
122.002009	266.08562436
123.002024	266.50731031
124.002028	317.70351935
125.002041	297.91171160
126.002064	352.03417095
127.002070	343.60804545
128.002083	345.97188170
129.002088	341.86393067
130.002145	244.18022857
131.002168	333.64131083
132.002192	325.36219439
133.002223	382.46884030
134.002236	336.38934218
135.002274	284.38144446
136.002287	289.53465762
137.002289	260.77799388
138.002291	306.60477734
139.002303	259.14387484
140.002317	268.43269542
141.002322	320.92665838
142.002329	189.04826615
143.002338	173.21604977
144.002345	229.90906361
145.002345	146.08411665
146.002384	217.25264530
147.002411	208.82819284
148.002436	217.18539646
149.002444	309.12670153
150.002456	328.25387105
151.002459	198.61332984
152.002462	233.88362358
153.002477	246.29377891
154.002484	290.28290614
155.002487	249.25618127
156.002488	307.35940691
157.002497	246.10591214
158.002502	193.48663409
159.002537	232.24454002
160.002538	307.31863906
161.002543	179.38806745
162.002578	269.79554222
163.002582	273.52476268
164.002586	246.56186786
165.002597	386.01748252
166.002626	406.34681635
167.002667	319.16322507
168.002669	331.78696295
169.002680	293.33132778
170.002700	268.16793278
171.002729	220.69213159
172.002731	250.27868252
173.002735	222.36567981
174.002764	293.24392567
175.002767	253.69016519
176.002800	248.55609543
177.002812	234.30133122
178.002818	209.01482993
179.002822	228.61315241
180.002823	227.40727540
181.002842	245.20671874
182.002868	241.81388285
183.002872	313.29510964
184.002899	240.47998533
185.002923	221.06419480
186.002926	244.56801262
187.002955	297.98432815
188.002957	201.60944689
189.002974	231.81070650
190.003001	236.84890031
191.003007	250.19010121
192.003014	170.29125621
193.003031	235.09689797
194.003056	229.78870460
195.003078	166.92843865
196.003083	95.90217449
197.003097	150.09887797
198.003108	129.72840972
199.003139	160.05816663
200.003148	139.89349016
201.003157	130.67135050
202.003170	234.39946613
203.003208	191.58526429
204.003208	277.65374766
