# F(k,t) correlation function
# Reference time: 0.000 ps
# lag_time_ps	F(k,t)
0.000000	926.52213480
1.000012	717.06241097
2.000026	632.32885466
3.000036	629.44257985
4.000050	652.53405861
5.000056	695.51032194
6.000078	654.77741499
7.000086	765.74349052
8.000094	630.66278519
9.000098	672.83263542
10.000155	657.29299882
11.000176	626.89456613
12.000191	733.85999552
13.000212	606.29928748
14.000228	717.24474976
15.000234	667.90920644
16.000251	777.79620022
17.000254	687.35935568
18.000267	641.91055335
19.000269	628.53784271
20.000275	582.19594210
21.000318	610.12417546
22.000323	584.32706453
23.000373	618.19506281
24.000384	531.73528962
25.000409	512.24164415
26.000436	644.90956692
27.000439	575.28147005
28.000478	590.32946633
29.000483	545.69927691
30.000501	601.67026165
31.000520	546.45259810
32.000560	586.18764219
33.000572	566.05796059
34.000598	639.67799598
35.000609	585.66581605
36.000612	480.27893612
37.000645	563.95517762
38.000656	563.53545366
39.000670	541.53627959
40.000724	548.93684073
41.000736	523.28257899
42.000752	577.87762362
43.000764	515.48646721
44.000777	530.16675053
45.000805	487.33238630
46.000809	456.54768340
47.000825	494.61984050
48.000829	509.62990545
49.000833	458.62119465
50.000846	513.66666005
51.000851	531.42180691
52.000889	579.20916234
53.000897	523.94558451
54.000942	561.14392853
55.000950	504.89869573
56.000958	436.55935532
57.000978	505.28620672
58.000984	416.24852153
59.000991	474.82375784
60.001018	452.96194482
61.001034	490.04159941
62.001035	487.50789738
63.001041	485.02154132
64.001050	600.15974247
65.001070	521.73881641
66.001073	609.61040079
67.001076	505.89590854
68.001079	507.72938348
69.001083	528.14705542
70.001095	463.59835263
71.001102	469.41418052
72.001115	513.21465335
73.001116	631.24065075
74.001129	510.23499305
75.001152	539.92789352
76.001160	504.39388715
77.001180	539.47953567
78.001185	589.36664309
79.001194	616.18209104
80.001209	618.29590928
81.001228	557.99170524
82.001237	614.37815698
83.001251	508.53593075
84.001265	475.01321689
85.001279	580.26221210
86.001296	577.48327490
87.001299	448.23285855
88.001336	520.21316836
89.001343	495.73682047
90.001358	504.58650944
91.001381	561.74896287
92.001383	578.45683843
93.001386	588.33103271
94.001387	591.26149911
95.001390	517.80546582
96.001391	435.64681856
97.001399	470.59006782
98.001426	487.72770779
99.001485	526.21679106
100.001517	510.07096480
101.001517	559.23882773
102.001528	501.06167381
103.001534	509.95321019
104.001553	488.90802728
105.001561	541.23213498
106.001577	480.42151994
107.001627	531.34433568
108.001646	641.48696694
109.001668	516.43442546
110.001682	493.88895175
111.001702	595.92926807
112.001711	572.21845503
113.001712	498.45982517
114.001735	513.38976704
115.001738	529.14916792
116.001741	495.85134206
117.001757	513.12465479
118.001761	529.50126062
119.001771	553.45883112
120.001785	578.14766420
121.001795	593.51985351
122.001805	501.67400861
123.001840	478.16709785
124.001889	460.97598774
125.001919	516.70857688
126.001982	536.98558705
127.001990	464.75147491
128.001998	471.89682427
129.002069	402.23585821
130.002070	495.52549673
131.002110	497.54579751
132.002115	513.12267876
133.002131	453.13383809
134.002145	401.40741179
135.002155	444.05633319
136.002165	472.28279150
137.002185	421.14364449
138.002193	393.17545965
139.002254	447.54287098
140.002263	427.09934847
141.002284	426.03708528
142.002295	374.86228906
143.002296	461.54359567
144.002296	443.20480562
145.002327	485.85698724
146.002327	483.07536319
147.002332	543.32562078
148.002338	496.37423794
149.002359	525.44868973
150.002384	467.59623773
151.002386	492.23955355
152.002427	530.34304232
153.002472	405.00427972
154.002513	409.45614936
155.002539	454.90640152
156.002552	529.25600737
157.002566	470.14762703
158.002579	333.99368849
159.002581	387.98909786
160.002595	384.54759669
161.002606	314.78076678
162.002639	295.49334594
163.002653	346.41979224
164.002657	408.68601875
165.002680	300.51977224
166.002685	318.93929453
167.002756	308.61712428
168.002760	305.74335783
169.002782	327.21480847
170.002809	383.08953800
171.002825	301.36761326
172.002829	319.33313419
173.002832	278.57704856
174.002858	267.63185307
175.002875	260.01933997
176.002889	257.93417775
177.002891	200.93080081
178.002921	304.98463773
179.002937	268.52353379
180.002946	340.15957476
181.002953	230.16095759
182.002973	303.37607062
183.002984	306.72672625
184.003029	215.13605565
185.003029	286.92848034
186.003036	338.60720554
187.003044	296.65602290
188.003052	307.23474794
189.003089	364.44354806
190.003112	333.58382725
191.003136	235.74274653
192.003148	319.84192458
193.003181	257.61865980
194.003195	210.38710581
195.003216	187.15097394
196.003255	194.72117644
197.003272	123.94567862
198.003276	287.93874947
199.003309	286.67021323
