0	0	310	
0p01	0.01	310	
0p016667	0.016667	310	
0p023333	0.023333	309	
0p03	0.03	309	
0	0	311	
0p01	0.01	311	
0p016667	0.016667	311	
0p023333	0.023333	310	
0p03	0.03	310	
0	0	312	
0p01	0.01	312	
0p016667	0.016667	312	
0p023333	0.023333	311	
0p03	0.03	311	
0	0	313	
0p01	0.01	313	
0p016667	0.016667	313	
0p023333	0.023333	312	
0p03	0.03	312	
0	0	314	
0p01	0.01	314	
0p016667	0.016667	314	
0p023333	0.023333	313	
0p03	0.03	313	
0	0	315	
0p01	0.01	315	
0p016667	0.016667	315	
0p023333	0.023333	314	
0p03	0.03	314	
0	0	316	
0p01	0.01	316	
0p016667	0.016667	316	
0p023333	0.023333	315	
0p03	0.03	315	
0	0	317	
0p01	0.01	317	
0p016667	0.016667	317	
0p023333	0.023333	316	
0p03	0.03	316	
0	0	318	
0p01	0.01	318	
0p016667	0.016667	318	
0p023333	0.023333	317	
0p03	0.03	317	
0	0	319	
0p01	0.01	319	
0p016667	0.016667	319	
0p023333	0.023333	318	
0p03	0.03	318	
0	0	320	
0p01	0.01	320	
0p016667	0.016667	320	
0p023333	0.023333	319	
0p03	0.03	319	
0	0	321	
0p01	0.01	321	
0p016667	0.016667	321	
0p023333	0.023333	320	
0p03	0.03	320	
0	0	322	
0p01	0.01	322	
0p016667	0.016667	322	
0p023333	0.023333	321	
0p03	0.03	321	
0	0	323	
0p01	0.01	323	
0p016667	0.016667	323	
0p023333	0.023333	322	
0p03	0.03	322	
0	0	324	
0p01	0.01	324	
0p016667	0.016667	324	
0p023333	0.023333	323	
0p03	0.03	323	
0	0	325	
0p01	0.01	325	
0p016667	0.016667	325	
0p023333	0.023333	324	
0p03	0.03	324	
0	0	326	
0p01	0.01	326	
0p016667	0.016667	326	
0p023333	0.023333	325	
0p03	0.03	325	
0	0	327	
0p01	0.01	327	
0p016667	0.016667	327	
0p023333	0.023333	326	
0p03	0.03	326	
0	0	328	
0p01	0.01	328	
0p016667	0.016667	328	
0p023333	0.023333	327	
0p03	0.03	327	
0	0	329	
0p01	0.01	329	
0p016667	0.016667	329	
0p023333	0.023333	328	
0p03	0.03	328	
0	0	330	
0p01	0.01	330	
0p016667	0.016667	330	
0p023333	0.023333	329	
0p03	0.03	329	
0	0	331	
0p01	0.01	331	
0p016667	0.016667	331	
0p023333	0.023333	330	
0p03	0.03	330	
0	0	332	
0p01	0.01	332	
0p016667	0.016667	332	
0p023333	0.023333	331	
0p03	0.03	331	
0	0	333	
0p01	0.01	333	
0p016667	0.016667	333	
0p023333	0.023333	332	
0p03	0.03	332	
0	0	334	
0p01	0.01	334	
0p016667	0.016667	334	
0p023333	0.023333	333	
0p03	0.03	333	
0	0	335	
0p01	0.01	335	
0p016667	0.016667	335	
0p023333	0.023333	334	
0p03	0.03	334	
0	0	336	
0p01	0.01	336	
0p016667	0.016667	336	
0p023333	0.023333	335	
0p03	0.03	335	
0	0	337	
0p01	0.01	337	
0p016667	0.016667	337	
0p023333	0.023333	336	
0p03	0.03	336	
0	0	338	
0p01	0.01	338	
0p016667	0.016667	338	
0p023333	0.023333	337	
0p03	0.03	337	
0	0	339	
0p01	0.01	339	
0p016667	0.016667	339	
0p023333	0.023333	338	
0p03	0.03	338	
0	0	340	
0p01	0.01	340	
0p016667	0.016667	340	
0p023333	0.023333	339	
0p03	0.03	339	
0	0	341	
0p01	0.01	341	
0p016667	0.016667	341	
0p023333	0.023333	340	
0p03	0.03	340	
0	0	342	
0p01	0.01	342	
0p016667	0.016667	342	
0p023333	0.023333	341	
0p03	0.03	341	
0	0	343	
0p01	0.01	343	
0p016667	0.016667	343	
0p023333	0.023333	342	
0p03	0.03	342	
0	0	344	
0p01	0.01	344	
0p016667	0.016667	344	
0p023333	0.023333	343	
0p03	0.03	343	
0	0	345	
0p01	0.01	345	
0p016667	0.016667	345	
0p023333	0.023333	344	
0p03	0.03	344	
0	0	346	
0p01	0.01	346	
0p016667	0.016667	346	
0p023333	0.023333	345	
0p03	0.03	345	
0	0	347	
0p01	0.01	347	
0p016667	0.016667	347	
0p023333	0.023333	346	
0p03	0.03	346	
0	0	348	
0p01	0.01	348	
0p016667	0.016667	348	
0p023333	0.023333	347	
0p03	0.03	347	
0	0	349	
0p01	0.01	349	
0p016667	0.016667	349	
0p023333	0.023333	348	
0p03	0.03	348	
0	0	350	
0p01	0.01	350	
0p016667	0.016667	350	
0p023333	0.023333	349	
0p03	0.03	349	
0	0	351	
0p01	0.01	351	
0p016667	0.016667	351	
0p023333	0.023333	350	
0p03	0.03	350	
0	0	352	
0p01	0.01	352	
0p016667	0.016667	352	
0p023333	0.023333	351	
0p03	0.03	351	
0	0	353	
0p01	0.01	353	
0p016667	0.016667	353	
0p023333	0.023333	352	
0p03	0.03	352	
0	0	354	
0p01	0.01	354	
0p016667	0.016667	354	
0p023333	0.023333	353	
0p03	0.03	353	
0	0	355	
0p01	0.01	355	
0p016667	0.016667	355	
0p023333	0.023333	354	
0p03	0.03	354	
0	0	356	
0p01	0.01	356	
0p016667	0.016667	356	
0p023333	0.023333	355	
0p03	0.03	355	
0	0	357	
0p01	0.01	357	
0p016667	0.016667	357	
0p023333	0.023333	356	
0p03	0.03	356	
0	0	358	
0p01	0.01	358	
0p016667	0.016667	358	
0p023333	0.023333	357	
0p03	0.03	357	
0	0	359	
0p01	0.01	359	
0p016667	0.016667	359	
0p023333	0.023333	358	
0p03	0.03	358	
0	0	360	
0p01	0.01	360	
0p016667	0.016667	360	
0p023333	0.023333	359	
0p03	0.03	359	
0	0	361	
0p01	0.01	361	
0p016667	0.016667	361	
0p023333	0.023333	360	
0p03	0.03	360	
0	0	362	
0p01	0.01	362	
0p016667	0.016667	362	
0p023333	0.023333	361	
0p03	0.03	361	
0	0	363	
0p01	0.01	363	
0p016667	0.016667	363	
0p023333	0.023333	362	
0p03	0.03	362	
0	0	364	
0p01	0.01	364	
0p016667	0.016667	364	
0p023333	0.023333	363	
0p03	0.03	363	
0	0	365	
0p01	0.01	365	
0p016667	0.016667	365	
0p023333	0.023333	364	
0p03	0.03	364	
0	0	366	
0p01	0.01	366	
0p016667	0.016667	366	
0p023333	0.023333	365	
0p03	0.03	365	
0	0	367	
0p01	0.01	367	
0p016667	0.016667	367	
0p023333	0.023333	366	
0p03	0.03	366	
0	0	368	
0p01	0.01	368	
0p016667	0.016667	368	
0p023333	0.023333	367	
0p03	0.03	367	
0	0	369	
0p01	0.01	369	
0p016667	0.016667	369	
0p023333	0.023333	368	
0p03	0.03	368	
0	0	370	
0p01	0.01	370	
0p016667	0.016667	370	
0p023333	0.023333	369	
0p03	0.03	369	
0	0	371	
0p01	0.01	371	
0p016667	0.016667	371	
0p023333	0.023333	370	
0p03	0.03	370	
0	0	372	
0p01	0.01	372	
0p016667	0.016667	372	
0p023333	0.023333	371	
0p03	0.03	371	
0	0	373	
0p01	0.01	373	
0p016667	0.016667	373	
0p023333	0.023333	372	
0p03	0.03	372	
0	0	374	
0p01	0.01	374	
0p016667	0.016667	374	
0p023333	0.023333	373	
0p03	0.03	373	
0	0	375	
0p01	0.01	375	
0p016667	0.016667	375	
0p023333	0.023333	374	
0p03	0.03	374	
0	0	376	
0p01	0.01	376	
0p016667	0.016667	376	
0p023333	0.023333	375	
0p03	0.03	375	
0	0	377	
0p01	0.01	377	
0p016667	0.016667	377	
0p023333	0.023333	376	
0p03	0.03	376	
0	0	378	
0p01	0.01	378	
0p016667	0.016667	378	
0p023333	0.023333	377	
0p03	0.03	377	
0	0	379	
0p01	0.01	379	
0p016667	0.016667	379	
0p023333	0.023333	378	
0p03	0.03	378	
0	0	380	
0p01	0.01	380	
0p016667	0.016667	380	
0p023333	0.023333	379	
0p03	0.03	379	
0	0	381	
0p01	0.01	381	
0p016667	0.016667	381	
0p023333	0.023333	380	
0p03	0.03	380	
0	0	382	
0p01	0.01	382	
0p016667	0.016667	382	
0p023333	0.023333	381	
0p03	0.03	381	
0	0	383	
0p01	0.01	383	
0p016667	0.016667	383	
0p023333	0.023333	382	
0p03	0.03	382	
0	0	384	
0p01	0.01	384	
0p016667	0.016667	384	
0p023333	0.023333	383	
0p03	0.03	383	
0	0	385	
0p01	0.01	385	
0p016667	0.016667	385	
0p023333	0.023333	384	
0p03	0.03	384	
0	0	386	
0p01	0.01	386	
0p016667	0.016667	386	
0p023333	0.023333	385	
0p03	0.03	385	
0	0	387	
0p01	0.01	387	
0p016667	0.016667	387	
0p023333	0.023333	386	
0p03	0.03	386	
0	0	388	
0p01	0.01	388	
0p016667	0.016667	388	
0p023333	0.023333	387	
0p03	0.03	387	
0	0	389	
0p01	0.01	389	
0p016667	0.016667	389	
0p023333	0.023333	388	
0p03	0.03	388	
0	0	390	
0p01	0.01	390	
0p016667	0.016667	390	
0p023333	0.023333	389	
0p03	0.03	389	
0	0	391	
0p01	0.01	391	
0p016667	0.016667	391	
0p023333	0.023333	390	
0p03	0.03	390	
0	0	392	
0p01	0.01	392	
0p016667	0.016667	392	
0p023333	0.023333	391	
0p03	0.03	391	
0	0	393	
0p01	0.01	393	
0p016667	0.016667	393	
0p023333	0.023333	392	
0p03	0.03	392	
0	0	394	
0p01	0.01	394	
0p016667	0.016667	394	
0p023333	0.023333	393	
0p03	0.03	393	
0	0	395	
0p01	0.01	395	
0p016667	0.016667	395	
0p023333	0.023333	394	
0p03	0.03	394	
0	0	396	
0p01	0.01	396	
0p016667	0.016667	396	
0p023333	0.023333	395	
0p03	0.03	395	
0	0	397	
0p01	0.01	397	
0p016667	0.016667	397	
0p023333	0.023333	396	
0p03	0.03	396	
0	0	398	
0p01	0.01	398	
0p016667	0.016667	398	
0p023333	0.023333	397	
0p03	0.03	397	
0	0	399	
0p01	0.01	399	
0p016667	0.016667	399	
0p023333	0.023333	398	
0p03	0.03	398	
0	0	400	
0p01	0.01	400	
0p016667	0.016667	400	
0p023333	0.023333	399	
0p03	0.03	399	
0	0	401	
0p01	0.01	401	
0p016667	0.016667	401	
0p023333	0.023333	400	
0p03	0.03	400	
0	0	402	
0p01	0.01	402	
0p016667	0.016667	402	
0p023333	0.023333	401	
0p03	0.03	401	
0	0	403	
0p01	0.01	403	
0p016667	0.016667	403	
0p023333	0.023333	402	
0p03	0.03	402	
0	0	404	
0p01	0.01	404	
0p016667	0.016667	404	
0p023333	0.023333	403	
0p03	0.03	403	
0	0	405	
0p01	0.01	405	
0p016667	0.016667	405	
0p023333	0.023333	404	
0p03	0.03	404	
0	0	406	
0p01	0.01	406	
0p016667	0.016667	406	
0p023333	0.023333	405	
0p03	0.03	405	
0	0	407	
0p01	0.01	407	
0p016667	0.016667	407	
0p023333	0.023333	406	
0p03	0.03	406	
0	0	408	
0p01	0.01	408	
0p016667	0.016667	408	
0p023333	0.023333	407	
0p03	0.03	407	
0	0	409	
0p01	0.01	409	
0p016667	0.016667	409	
0p023333	0.023333	408	
0p03	0.03	408	
0	0	410	
0p01	0.01	410	
0p016667	0.016667	410	
0p023333	0.023333	409	
0p03	0.03	409	
0	0	411	
0p01	0.01	411	
0p016667	0.016667	411	
0p023333	0.023333	410	
0p03	0.03	410	
0	0	412	
0p01	0.01	412	
0p016667	0.016667	412	
0p023333	0.023333	411	
0p03	0.03	411	
0	0	413	
0p01	0.01	413	
0p016667	0.016667	413	
0p023333	0.023333	412	
0p03	0.03	412	
0	0	414	
0p01	0.01	414	
0p016667	0.016667	414	
0p023333	0.023333	413	
0p03	0.03	413	
0	0	415	
0p01	0.01	415	
0p016667	0.016667	415	
0p023333	0.023333	414	
0p03	0.03	414	
0	0	416	
0p01	0.01	416	
0p016667	0.016667	416	
0p023333	0.023333	415	
0p03	0.03	415	
0	0	417	
0p01	0.01	417	
0p016667	0.016667	417	
0p023333	0.023333	416	
0p03	0.03	416	
0	0	418	
0p01	0.01	418	
0p016667	0.016667	418	
0p023333	0.023333	417	
0p03	0.03	417	
0	0	419	
0p01	0.01	419	
0p016667	0.016667	419	
0p023333	0.023333	418	
0p03	0.03	418	
0	0	420	
0p01	0.01	420	
0p016667	0.016667	420	
0p023333	0.023333	419	
0p03	0.03	419	
0	0	421	
0p01	0.01	421	
0p016667	0.016667	421	
0p023333	0.023333	420	
0p03	0.03	420	
0	0	422	
0p01	0.01	422	
