# Molecular kinetic energy data (excluding photon particle)
# time(ps) timestep kinetic_energy(a.u.) temperature(K) avg_vel_magnitude(a.u.)
0.004206 126 1.774651 747.142941 0.000485
0.004240 127 1.756187 739.369303 0.000482
0.004274 128 1.737336 731.432795 0.000479
0.004308 129 1.718094 723.331694 0.000477
0.004342 130 1.698629 715.136949 0.000474
0.004376 131 1.678626 706.715544 0.000471
0.004410 132 1.658376 698.189880 0.000468
0.004443 133 1.638071 689.641637 0.000465
0.004477 134 1.617283 680.889389 0.000461
0.004511 135 1.596153 671.993801 0.000458
0.004545 136 1.575045 663.107197 0.000455
0.004579 137 1.553538 654.052223 0.000451
0.004613 138 1.531919 644.950719 0.000448
0.004647 139 1.510214 635.812754 0.000445
0.004681 140 1.488288 626.581603 0.000441
0.004715 141 1.466320 617.332865 0.000438
0.004749 142 1.444271 608.049970 0.000434
0.004783 143 1.422267 598.786141 0.000430
0.004817 144 1.400029 589.423780 0.000427
0.004851 145 1.378095 580.189306 0.000423
0.004884 146 1.356160 570.954718 0.000419
0.004918 147 1.334258 561.733919 0.000416
0.004952 148 1.312436 552.546271 0.000412
0.004986 149 1.290834 543.451764 0.000408
0.005020 150 1.269254 534.366325 0.000405
0.005054 151 1.247681 525.284135 0.000401
0.005088 152 1.226545 516.385653 0.000397
0.005122 153 1.205504 507.527072 0.000393
0.005156 154 1.184766 498.796175 0.000390
0.005190 155 1.164186 490.131952 0.000386
0.005224 156 1.144006 481.635930 0.000382
0.005258 157 1.124147 473.275145 0.000379
0.005291 158 1.104733 465.101860 0.000375
0.005325 159 1.085652 457.068341 0.000372
0.005359 160 1.067022 449.225327 0.000368
0.005393 161 1.048845 441.572651 0.000365
0.005427 162 1.030989 434.055060 0.000361
0.005461 163 1.013683 426.768826 0.000358
0.005495 164 0.996803 419.662537 0.000355
0.005529 165 0.980345 412.733233 0.000351
0.005563 166 0.964700 406.146541 0.000348
0.005597 167 0.949477 399.737637 0.000345
0.005631 168 0.934801 393.559013 0.000342
0.005665 169 0.920666 387.608066 0.000340
0.005699 170 0.907187 381.933290 0.000337
0.005732 171 0.894350 376.528686 0.000334
0.005766 172 0.882089 371.366991 0.000332
0.005800 173 0.870517 366.494917 0.000329
0.005834 174 0.859615 361.905217 0.000327
0.005868 175 0.849461 357.630189 0.000325
0.005902 176 0.839953 353.627366 0.000323
0.005936 177 0.831213 349.947585 0.000321
0.005970 178 0.823148 346.552132 0.000319
0.006004 179 0.815923 343.510423 0.000317
0.006038 180 0.809478 340.796957 0.000316
0.006072 181 0.803692 338.361118 0.000315
0.006106 182 0.798737 336.274737 0.000313
0.006139 183 0.794607 334.536167 0.000312
0.006173 184 0.791354 333.166706 0.000311
0.006207 185 0.788918 332.140863 0.000310
0.006241 186 0.787245 331.436775 0.000309
0.006275 187 0.786463 331.107318 0.000309
0.006309 188 0.786537 331.138810 0.000308
0.006343 189 0.787396 331.500070 0.000308
0.006377 190 0.789148 332.237791 0.000308
0.006411 191 0.791674 333.301279 0.000308
0.006445 192 0.795059 334.726553 0.000308
0.006479 193 0.799354 336.534580 0.000308
0.006513 194 0.804493 338.698268 0.000309
0.006547 195 0.810521 341.236162 0.000309
0.006580 196 0.817330 344.102833 0.000310
0.006614 197 0.825036 347.346810 0.000310
0.006648 198 0.833637 350.968257 0.000311
0.006682 199 0.843121 354.960867 0.000313
0.006716 200 0.853406 359.291052 0.000314
0.006750 201 0.864587 363.998178 0.000315
0.006784 202 0.876679 369.089161 0.000317
0.006818 203 0.889547 374.506641 0.000318
0.006852 204 0.903264 380.281839 0.000320
0.006886 205 0.917675 386.348768 0.000322
0.006920 206 0.933017 392.807844 0.000324
0.006954 207 0.949125 399.589314 0.000326
0.006987 208 0.966081 406.728270 0.000329
0.007021 209 0.983714 414.151806 0.000331
0.007055 210 1.002295 421.974736 0.000334
0.007089 211 1.021585 430.095854 0.000337
0.007123 212 1.041608 438.525458 0.000339
0.007157 213 1.062254 447.217592 0.000342
0.007191 214 1.083634 456.218831 0.000346
0.007225 215 1.105806 465.553438 0.000349
0.007259 216 1.128553 475.130297 0.000352
0.007293 217 1.151951 484.981044 0.000356
0.007327 218 1.176109 495.151850 0.000359
0.007361 219 1.201064 505.657960 0.000363
0.007395 220 1.226542 516.384425 0.000366
0.007428 221 1.252671 527.384805 0.000370
0.007462 222 1.279304 538.597717 0.000374
0.007496 223 1.306506 550.049950 0.000378
0.007530 224 1.334244 561.727821 0.000382
0.007564 225 1.362386 573.575838 0.000387
0.007598 226 1.391018 585.630211 0.000391
0.007632 227 1.420180 597.907668 0.000395
0.007666 228 1.449718 610.343482 0.000399
0.007700 229 1.479739 622.982292 0.000404
0.007734 230 1.510241 635.824099 0.000408
0.007768 231 1.541116 648.822856 0.000413
0.007802 232 1.572304 661.952855 0.000417
0.007835 233 1.603707 675.174063 0.000422
0.007869 234 1.635499 688.558537 0.000427
0.007903 235 1.667529 702.043652 0.000431
0.007937 236 1.700071 715.744070 0.000436
0.007971 237 1.732553 729.419329 0.000441
0.008005 238 1.765190 743.159476 0.000445
0.008039 239 1.797972 756.961070 0.000450
0.008073 240 1.831032 770.879764 0.000455
0.008107 241 1.864232 784.857239 0.000459
0.008141 242 1.897502 798.864134 0.000464
0.008175 243 1.930920 812.933298 0.000469
0.008209 244 1.964275 826.976083 0.000473
0.008243 245 1.997771 841.078031 0.000478
0.008276 246 2.030984 855.061257 0.000483
0.008310 247 2.064255 869.068481 0.000487
0.008344 248 2.097232 882.952198 0.000492
0.008378 249 2.130279 896.865323 0.000496
0.008412 250 2.163214 910.731236 0.000501
0.008446 251 2.196148 924.596557 0.000505
0.008480 252 2.228875 938.374709 0.000510
0.008514 253 2.261174 951.973231 0.000514
0.008548 254 2.293312 965.503222 0.000518
0.008582 255 2.325133 978.900380 0.000523
0.008616 256 2.356833 992.246342 0.000527
0.008650 257 2.388087 1005.404680 0.000531
0.008683 258 2.418803 1018.335986 0.000535
0.008717 259 2.449545 1031.278955 0.000539
0.008751 260 2.479727 1043.985872 0.000543
0.008785 261 2.509213 1056.399575 0.000547
0.008819 262 2.538469 1068.716611 0.000551
0.008853 263 2.567312 1080.859762 0.000555
0.008887 264 2.595812 1092.858322 0.000558
0.008921 265 2.623571 1104.545316 0.000562
0.008955 266 2.650666 1115.952297 0.000565
0.008989 267 2.677264 1127.150225 0.000569
0.009023 268 2.703302 1138.112679 0.000572
0.009057 269 2.728486 1148.715086 0.000575
0.009091 270 2.753186 1159.114193 0.000578
0.009124 271 2.777330 1169.279051 0.000582
0.009158 272 2.800472 1179.022074 0.000584
0.009192 273 2.822947 1188.484216 0.000587
0.009226 274 2.844835 1197.699193 0.000590
0.009260 275 2.866110 1206.656017 0.000593
0.009294 276 2.886831 1215.379905 0.000595
0.009328 277 2.906647 1223.722669 0.000598
0.009362 278 2.925371 1231.605654 0.000600
0.009396 279 2.943399 1239.195532 0.000603
0.009430 280 2.960451 1246.374428 0.000605
0.009464 281 2.976918 1253.307028 0.000607
0.009498 282 2.992477 1259.857755 0.000609
0.009531 283 3.007221 1266.065147 0.000611
0.009565 284 3.020907 1271.826803 0.000613
0.009599 285 3.033831 1277.268069 0.000615
0.009633 286 3.045797 1282.305955 0.000616
0.009667 287 3.056827 1286.949603 0.000618
0.009701 288 3.067332 1291.372234 0.000619
0.009735 289 3.076593 1295.271419 0.000621
0.009769 290 3.084846 1298.745879 0.000622
0.009803 291 3.092282 1301.876611 0.000623
0.009837 292 3.098895 1304.660534 0.000624
0.009871 293 3.104324 1306.946176 0.000625
0.009905 294 3.109013 1308.920527 0.000626
0.009939 295 3.112784 1310.507772 0.000626
0.009972 296 3.115387 1311.604038 0.000627
0.010006 297 3.117045 1312.301754 0.000627
0.010040 298 3.117773 1312.608237 0.000628
0.010074 299 3.117716 1312.584197 0.000628
0.010108 300 3.116399 1312.029949 0.000628
0.010142 301 3.114395 1311.186233 0.000628
0.010176 302 3.111293 1309.880108 0.000628
0.010210 303 3.107372 1308.229284 0.000628
0.010244 304 3.102416 1306.142942 0.000628
0.010278 305 3.096613 1303.699628 0.000628
0.010312 306 3.090127 1300.969178 0.000627
0.010346 307 3.082542 1297.775727 0.000627
0.010379 308 3.074084 1294.215065 0.000626
0.010413 309 3.064669 1290.251114 0.000626
0.010447 310 3.054288 1285.880564 0.000625
0.010481 311 3.043056 1281.151678 0.000624
0.010515 312 3.030961 1276.059962 0.000623
0.010549 313 3.017910 1270.565397 0.000622
0.010583 314 3.004218 1264.800751 0.000621
0.010617 315 2.989796 1258.729052 0.000619
0.010651 316 2.974632 1252.344683 0.000618
0.010685 317 2.958472 1245.541214 0.000616
0.010719 318 2.941466 1238.381490 0.000615
0.010753 319 2.923900 1230.986109 0.000613
0.010787 320 2.905488 1223.234519 0.000612
0.010820 321 2.886229 1215.126372 0.000610
0.010854 322 2.866316 1206.743037 0.000608
0.010888 323 2.845834 1198.119900 0.000606
0.010922 324 2.824376 1189.085664 0.000604
0.010956 325 2.802569 1179.904968 0.000602
0.010990 326 2.780330 1170.541918 0.000599
0.011024 327 2.757352 1160.868106 0.000597
0.011058 328 2.733905 1150.996587 0.000595
0.011092 329 2.709748 1140.826542 0.000592
0.011126 330 2.685197 1130.490448 0.000590
0.011160 331 2.660032 1119.895433 0.000587
0.011194 332 2.634383 1109.097236 0.000585
0.011227 333 2.608384 1098.151417 0.000582
0.011261 334 2.581965 1087.028788 0.000580
0.011295 335 2.554970 1075.663447 0.000577
0.011329 336 2.527685 1064.176405 0.000574
0.011363 337 2.500217 1052.612308 0.000571
0.011397 338 2.472382 1040.893230 0.000568
0.011431 339 2.444187 1029.023167 0.000565
0.011465 340 2.415795 1017.069601 0.000562
0.011499 341 2.387153 1005.011468 0.000559
0.011533 342 2.358327 992.875095 0.000556
0.011567 343 2.329325 980.665165 0.000553
0.011601 344 2.300064 968.346165 0.000550
0.011635 345 2.270882 956.060220 0.000547
0.011668 346 2.241584 943.725563 0.000543
0.011702 347 2.212281 931.388619 0.000540
0.011736 348 2.182898 919.018309 0.000537
0.011770 349 2.153509 906.645323 0.000533
0.011804 350 2.124323 894.357490 0.000530
0.011838 351 2.095189 882.091944 0.000526
0.011872 352 2.066042 869.820683 0.000523
0.011906 353 2.037132 857.649460 0.000519
0.011940 354 2.008427 845.564508 0.000516
0.011974 355 1.979879 833.545375 0.000512
0.012008 356 1.951409 821.559438 0.000508
0.012042 357 1.923239 809.699718 0.000505
0.012075 358 1.895193 797.891935 0.000501
0.012109 359 1.867725 786.327783 0.000497
0.012143 360 1.840332 774.795059 0.000493
0.012177 361 1.813457 763.480382 0.000490
0.012211 362 1.786918 752.307181 0.000486
0.012245 363 1.760768 741.297914 0.000482
0.012279 364 1.735147 730.511346 0.000478
0.012313 365 1.709974 719.913397 0.000474
0.012347 366 1.685173 709.471841 0.000470
0.012381 367 1.660896 699.250974 0.000466
0.012415 368 1.637132 689.245976 0.000462
0.012449 369 1.614076 679.539607 0.000458
0.012482 370 1.591499 670.034341 0.000454
0.012516 371 1.569624 660.824715 0.000450
0.012550 372 1.548261 651.830903 0.000446
0.012584 373 1.527740 643.191248 0.000442
0.012618 374 1.507875 634.828111 0.000438
0.012652 375 1.488797 626.795974 0.000434
0.012686 376 1.470590 619.130533 0.000430
0.012720 377 1.453107 611.770263 0.000426
0.012754 378 1.436268 604.680745 0.000422
0.012788 379 1.420266 597.943777 0.000418
0.012822 380 1.405063 591.543058 0.000414
0.012856 381 1.390708 585.499594 0.000410
0.012890 382 1.377222 579.821765 0.000406
0.012923 383 1.364380 574.415350 0.000402
0.012957 384 1.352623 569.465435 0.000398
0.012991 385 1.341696 564.865170 0.000394
0.013025 386 1.331670 560.644028 0.000390
0.013059 387 1.322494 556.780889 0.000386
0.013093 388 1.314432 553.386850 0.000382
0.013127 389 1.307202 550.342749 0.000378
0.013161 390 1.301015 547.738070 0.000375
0.013195 391 1.295780 545.534330 0.000371
0.013229 392 1.291505 543.734139 0.000368
0.013263 393 1.288186 542.336996 0.000364
0.013297 394 1.285936 541.389628 0.000361
0.013330 395 1.284562 540.811323 0.000358
0.013364 396 1.284152 540.638838 0.000355
0.013398 397 1.284844 540.929819 0.000353
0.013432 398 1.286615 541.675512 0.000350
0.013466 399 1.289341 542.823395 0.000348
0.013500 400 1.293171 544.435773 0.000346
0.013534 401 1.298019 546.476811 0.000344
0.013568 402 1.303816 548.917542 0.000343
0.013602 403 1.310686 551.809663 0.000341
0.013636 404 1.318534 555.113791 0.000340
0.013670 405 1.327487 558.882890 0.000340
0.013704 406 1.337430 563.069170 0.000339
0.013738 407 1.348531 567.742900 0.000339
0.013771 408 1.360540 572.798778 0.000340
0.013805 409 1.373489 578.250429 0.000340
0.013839 410 1.387574 584.180026 0.000341
0.013873 411 1.402688 590.543118 0.000342
0.013907 412 1.418645 597.261425 0.000343
0.013941 413 1.435602 604.400205 0.000345
0.013975 414 1.453436 611.908710 0.000346
0.014009 415 1.472249 619.829024 0.000348
0.014043 416 1.491986 628.138387 0.000351
0.014077 417 1.512844 636.919850 0.000353
0.014111 418 1.534480 646.028652 0.000356
0.014145 419 1.557148 655.572268 0.000359
0.014178 420 1.580643 665.464009 0.000362
0.014212 421 1.605162 675.786482 0.000365
0.014246 422 1.630402 686.412841 0.000368
0.014280 423 1.656438 697.374085 0.000372
0.014314 424 1.683460 708.750738 0.000376
0.014348 425 1.711063 720.371835 0.000380
0.014382 426 1.739637 732.401485 0.000384
0.014416 427 1.769011 744.768310 0.000388
0.014450 428 1.799030 757.406686 0.000392
0.014484 429 1.829801 770.361296 0.000397
0.014518 430 1.861165 783.565886 0.000401
0.014552 431 1.893383 797.130172 0.000406
0.014586 432 1.926122 810.913501 0.000411
0.014619 433 1.959516 824.972326 0.000416
0.014653 434 1.993488 839.274816 0.000421
0.014687 435 2.028133 853.860728 0.000426
0.014721 436 2.063292 868.663232 0.000431
0.014755 437 2.099181 883.772803 0.000436
0.014789 438 2.135491 899.059259 0.000442
0.014823 439 2.172305 914.558328 0.000447
0.014857 440 2.209418 930.183541 0.000452
0.014891 441 2.247047 946.025411 0.000458
0.014925 442 2.285186 962.082430 0.000463
0.014959 443 2.323740 978.313800 0.000469
0.014993 444 2.362789 994.753978 0.000474
0.015026 445 2.401814 1011.183680 0.000480
0.015060 446 2.441408 1027.853188 0.000485
0.015094 447 2.481096 1044.561847 0.000491
0.015128 448 2.521160 1061.429424 0.000497
0.015162 449 2.561317 1078.335904 0.000502
0.015196 450 2.602007 1095.466566 0.000508
0.015230 451 2.642877 1112.673167 0.000513
0.015264 452 2.683954 1129.966838 0.000519
0.015298 453 2.724885 1147.199309 0.000525
0.015332 454 2.766074 1164.539951 0.000530
0.015366 455 2.807419 1181.946542 0.000536
0.015400 456 2.848798 1199.367855 0.000541
0.015434 457 2.889939 1216.688369 0.000547
0.015467 458 2.931240 1234.076257 0.000552
0.015501 459 2.972304 1251.364700 0.000557
0.015535 460 3.013397 1268.665236 0.000563
0.015569 461 3.054321 1285.894718 0.000568
0.015603 462 3.095104 1303.064698 0.000573
0.015637 463 3.135671 1320.143659 0.000578
0.015671 464 3.176150 1337.185399 0.000584
0.015705 465 3.216365 1354.116424 0.000589
0.015739 466 3.256163 1370.871823 0.000594
0.015773 467 3.295592 1387.471702 0.000599
0.015807 468 3.334973 1404.051352 0.000603
0.015841 469 3.374000 1420.482196 0.000608
0.015874 470 3.412686 1436.769275 0.000613
0.015908 471 3.451305 1453.028241 0.000618
0.015942 472 3.488979 1468.889228 0.000622
0.015976 473 3.526609 1484.731565 0.000627
0.016010 474 3.563675 1500.336700 0.000631
0.016044 475 3.600130 1515.684795 0.000636
0.016078 476 3.636058 1530.810780 0.000640
0.016112 477 3.671521 1545.740719 0.000644
0.016146 478 3.706544 1560.485719 0.000648
0.016180 479 3.741116 1575.040924 0.000652
0.016214 480 3.774911 1589.268758 0.000656
0.016248 481 3.808295 1603.323869 0.000660
0.016282 482 3.841129 1617.147242 0.000664
0.016315 483 3.873193 1630.646541 0.000667
0.016349 484 3.904492 1643.823688 0.000671
0.016383 485 3.935127 1656.720986 0.000674
0.016417 486 3.965337 1669.440009 0.000678
0.016451 487 3.994501 1681.718330 0.000681
0.016485 488 4.022881 1693.666452 0.000684
0.016519 489 4.050899 1705.462359 0.000687
0.016553 490 4.077886 1716.823954 0.000690
0.016587 491 4.103996 1727.816263 0.000693
0.016621 492 4.129379 1738.502992 0.000695
0.016655 493 4.154198 1748.951993 0.000698
