# Cavity mode tracking
# Output period: 1 steps
# timestep time(ps) cavity_kinetic_energy cavity_potential_energy cavity_total_energy cavity_temperature
2 0.000000 0.052839 0.000930 0.053768 11122.740111
3 0.000034 0.073405 0.001024 0.074429 15451.963572
4 0.000068 0.097322 0.001161 0.098483 20486.588572
5 0.000102 0.124604 0.001352 0.125956 26229.733468
6 0.000136 0.155152 0.001609 0.156761 32660.106097
7 0.000170 0.188905 0.001949 0.190855 39765.308390
8 0.000204 0.225956 0.002388 0.228345 47564.776007
9 0.000238 0.266307 0.002944 0.269250 56058.684583
10 0.000272 0.309810 0.003636 0.313446 65216.299191
11 0.000283 0.324717 0.003895 0.328613 68354.382013
12 0.000294 0.339942 0.004172 0.344115 71559.283913
13 0.000305 0.355494 0.004468 0.359962 74832.963460
14 0.000316 0.371388 0.004783 0.376170 78178.636876
15 0.000327 0.387596 0.005118 0.392714 81590.589215
16 0.000339 0.404153 0.005473 0.409626 85075.833464
17 0.000350 0.421059 0.005851 0.426911 88634.769343
18 0.000361 0.438282 0.006251 0.444533 92260.107144
19 0.000372 0.455839 0.006675 0.462514 95956.055894
20 0.000383 0.473721 0.007124 0.480844 99720.182072
21 0.000394 0.492181 0.007604 0.499786 103606.178460
22 0.000406 0.510962 0.008113 0.519074 107559.551563
23 0.000417 0.530064 0.008649 0.538712 111580.602645
24 0.000428 0.549523 0.009214 0.558737 115676.917297
25 0.000439 0.569331 0.009810 0.579141 119846.562611
26 0.000451 0.589454 0.010437 0.599891 124082.569728
27 0.000462 0.609895 0.011096 0.620991 128385.387836
28 0.000473 0.630633 0.011789 0.642422 132750.843829
29 0.000485 0.651714 0.012516 0.664230 137188.423142
30 0.000496 0.673091 0.013279 0.686371 141688.512521
31 0.000507 0.695128 0.014092 0.709220 146327.401317
32 0.000519 0.717501 0.014944 0.732445 151036.976095
33 0.000530 0.740108 0.015836 0.755944 155795.753769
34 0.000542 0.763071 0.016770 0.779840 160629.536980
35 0.000553 0.786403 0.017746 0.804150 165541.183138
36 0.000565 0.810076 0.018767 0.828843 170524.267147
37 0.000576 0.834025 0.019834 0.853859 175565.764225
38 0.000587 0.858257 0.020947 0.879204 180666.571028
39 0.000599 0.882815 0.022108 0.904924 185836.277895
40 0.000610 0.907643 0.023319 0.930963 191062.714441
41 0.000622 0.933209 0.024602 0.957811 196444.323986
42 0.000634 0.959058 0.025938 0.984997 201885.754739
43 0.000645 0.985227 0.027330 1.012557 207394.391557
44 0.000657 1.011771 0.028779 1.040550 212982.033446
45 0.000669 1.038585 0.030286 1.068871 218626.506310
46 0.000680 1.065665 0.031853 1.097518 224326.910043
47 0.000692 1.093024 0.033482 1.126506 230086.179183
48 0.000703 1.120737 0.035173 1.155910 235919.701216
49 0.000715 1.148756 0.036929 1.185685 241817.846563
50 0.000727 1.177038 0.038751 1.215789 247771.491408
51 0.000739 1.206067 0.040673 1.246740 253882.191427
52 0.000750 1.235383 0.042667 1.278049 260053.160611
53 0.000762 1.265007 0.044734 1.309740 266289.134147
54 0.000774 1.294903 0.046876 1.341778 272582.422547
55 0.000786 1.325123 0.049094 1.374218 278943.998716
56 0.000798 1.355629 0.051392 1.407021 285365.524736
57 0.000810 1.386336 0.053769 1.440105 291829.431920
58 0.000821 1.417316 0.056229 1.473545 298350.950371
59 0.000833 1.448583 0.058773 1.507356 304932.783373
60 0.000845 1.480063 0.061402 1.541464 311559.340038
61 0.000857 1.512411 0.064166 1.576577 318368.755637
62 0.000869 1.545038 0.067023 1.612061 325236.882414
63 0.000881 1.577894 0.069975 1.647868 332153.206830
64 0.000893 1.611092 0.073022 1.684114 339141.555048
65 0.000905 1.644587 0.076168 1.720755 346192.415442
66 0.000917 1.678275 0.079415 1.757690 353283.883465
67 0.000929 1.712139 0.082763 1.794902 360412.317118
68 0.000941 1.746315 0.086216 1.832531 367606.567138
69 0.000953 1.780860 0.089775 1.870636 374878.528187
70 0.000965 1.815591 0.093443 1.909034 382189.446468
71 0.000978 1.851084 0.097290 1.948375 389660.947071
72 0.000990 1.886848 0.101254 1.988102 397189.282522
73 0.001002 1.922864 0.105336 2.028201 404770.896788
74 0.001014 1.959158 0.109540 2.068697 412410.811020
75 0.001027 1.995750 0.113866 2.109616 420113.619055
76 0.001039 2.032558 0.118318 2.150877 427861.958225
77 0.001051 2.069594 0.122898 2.192492 435658.100137
78 0.001064 2.106837 0.127608 2.234445 443497.960383
79 0.001076 2.144203 0.132450 2.276653 451363.698943
80 0.001088 2.181783 0.137426 2.319209 459274.425374
81 0.001101 2.220335 0.142635 2.362970 467389.691505
82 0.001113 2.259164 0.147988 2.407153 475563.499151
83 0.001125 2.298263 0.153488 2.451751 483793.892183
84 0.001138 2.337445 0.159138 2.496582 492041.805626
85 0.001150 2.376807 0.164938 2.541745 500327.693915
86 0.001163 2.416394 0.170893 2.587287 508661.000911
87 0.001175 2.456144 0.177004 2.633149 517028.560824
88 0.001188 2.496058 0.183274 2.679333 525430.651871
89 0.001200 2.536258 0.189706 2.725964 533892.844409
90 0.001213 2.576718 0.196301 2.773019 542409.797045
91 0.001226 2.618062 0.203192 2.821254 551112.875904
92 0.001238 2.659518 0.210259 2.869776 559839.509319
93 0.001251 2.701077 0.217503 2.918580 568587.952029
94 0.001264 2.742853 0.224928 2.967781 577381.945865
95 0.001276 2.784815 0.232536 3.017351 586215.126844
96 0.001289 2.826977 0.240330 3.067308 595090.454835
97 0.001302 2.869302 0.248314 3.117616 603999.985513
98 0.001315 2.911728 0.256488 3.168216 612930.858184
99 0.001327 2.954292 0.264857 3.219149 621890.741248
100 0.001340 2.996937 0.273422 3.270359 630867.727527
101 0.001353 3.040412 0.282351 3.322763 640019.412652
102 0.001366 3.084071 0.291489 3.375560 649209.790445
103 0.001379 3.128005 0.300840 3.428845 658458.005964
104 0.001392 3.172109 0.310406 3.482515 667742.121714
105 0.001405 3.216383 0.320191 3.536574 677061.945343
106 0.001418 3.260752 0.330198 3.590949 686401.755674
107 0.001431 3.305130 0.340428 3.645558 695743.548845
108 0.001444 3.349639 0.350886 3.700525 705113.015185
109 0.001457 3.394238 0.361573 3.755811 714501.123002
110 0.001470 3.438854 0.372493 3.811348 723893.122839
111 0.001483 3.484335 0.383837 3.868172 733467.092451
112 0.001496 3.530015 0.395427 3.925442 743082.863109
113 0.001509 3.575815 0.407267 3.983082 752723.931621
114 0.001522 3.621608 0.419359 4.040967 762363.472887
115 0.001535 3.667434 0.431707 4.099141 772010.107130
116 0.001549 3.713253 0.444314 4.157567 781655.225402
117 0.001562 3.759103 0.457182 4.216285 791306.890757
118 0.001575 3.805172 0.470314 4.275486 801004.572764
119 0.001588 3.851396 0.483715 4.335110 810734.817354
120 0.001601 3.897571 0.497386 4.394956 820454.809327
121 0.001615 3.944293 0.511519 4.455812 830290.079251
122 0.001628 3.991022 0.525935 4.516958 840126.816338
123 0.001641 4.037812 0.540639 4.578451 849976.287850
124 0.001655 4.084719 0.555633 4.640351 859850.266761
125 0.001668 4.131704 0.570920 4.702624 869740.922593
126 0.001681 4.178748 0.586504 4.765252 879643.807878
127 0.001695 4.225724 0.602389 4.828112 889532.386099
128 0.001708 4.272544 0.618575 4.891120 899388.366977
129 0.001721 4.319393 0.635067 4.954460 909250.127072
130 0.001735 4.366142 0.651868 5.018011 919091.133883
131 0.001748 4.413244 0.669148 5.082393 929006.250456
132 0.001762 4.460496 0.686749 5.147245 938952.867408
133 0.001775 4.507657 0.704674 5.212331 948880.582177
134 0.001789 4.554655 0.722926 5.277580 958773.720090
135 0.001802 4.601795 0.741507 5.343302 968696.918049
136 0.001816 4.649001 0.760422 5.409423 978633.979361
137 0.001829 4.696144 0.779673 5.475817 988557.819175
138 0.001843 4.743142 0.799264 5.542406 998451.104728
139 0.001856 4.789914 0.819197 5.609111 1008296.795755
140 0.001870 4.836665 0.839475 5.676140 1018138.043225
141 0.001883 4.883644 0.860230 5.743874 1028027.293223
142 0.001897 4.930544 0.881340 5.811884 1037899.994109
143 0.001910 4.977387 0.902809 5.880196 1047760.606846
144 0.001924 5.023992 0.924639 5.948631 1057571.215122
145 0.001937 5.070516 0.946833 6.017349 1067364.595561
146 0.001951 5.117117 0.969395 6.086512 1077174.379470
147 0.001964 5.163502 0.992327 6.155829 1086938.690081
148 0.001978 5.209720 1.015632 6.225352 1096667.780146
149 0.001992 5.255974 1.039313 6.295287 1106404.353629
150 0.002005 5.302145 1.063374 6.365519 1116123.654566
151 0.002019 5.348075 1.087812 6.435887 1125792.083243
152 0.002032 5.393739 1.112634 6.506373 1135404.381349
153 0.002046 5.439226 1.137844 6.577070 1144979.641430
154 0.002059 5.484607 1.163443 6.648050 1154532.672861
155 0.002073 5.529963 1.189435 6.719398 1164080.155743
156 0.002086 5.575190 1.215823 6.791013 1173600.646499
157 0.002100 5.620086 1.242609 6.862696 1183051.565695
158 0.002114 5.664814 1.269796 6.934610 1192466.956231
159 0.002127 5.709464 1.297386 7.006850 1201865.810599
160 0.002141 5.753792 1.325383 7.079175 1211197.200893
161 0.002154 5.797703 1.353683 7.151386 1220440.571761
162 0.002168 5.841455 1.382391 7.223846 1229650.578242
163 0.002181 5.884965 1.411510 7.296474 1238809.501329
164 0.002195 5.928327 1.441041 7.369368 1247937.504455
165 0.002208 5.971381 1.470988 7.442369 1257000.421816
166 0.002222 6.014244 1.501353 7.515597 1266023.429104
167 0.002235 6.056877 1.532138 7.589015 1274997.802641
168 0.002249 6.099182 1.563345 7.662527 1283903.130869
169 0.002262 6.141469 1.594977 7.736445 1292804.669452
170 0.002276 6.183508 1.627036 7.810544 1301654.054513
171 0.002289 6.224907 1.659323 7.884230 1310368.735319
172 0.002303 6.266119 1.692036 7.958155 1319044.158341
173 0.002316 6.307105 1.725178 8.032283 1327671.918741
174 0.002329 6.347803 1.758750 8.106553 1336238.849877
175 0.002343 6.388155 1.792755 8.180910 1344733.216026
176 0.002356 6.428129 1.827194 8.255323 1353147.909312
177 0.002370 6.467745 1.862069 8.329815 1361487.291922
178 0.002383 6.507184 1.897382 8.404567 1369789.357791
179 0.002397 6.546511 1.933136 8.479647 1378067.786428
180 0.002410 6.585597 1.969332 8.554929 1386295.555194
181 0.002423 6.623866 2.005602 8.629468 1394351.326415
182 0.002437 6.661837 2.042308 8.704146 1402344.485785
183 0.002450 6.699585 2.079454 8.779039 1410290.507143
184 0.002463 6.736951 2.117040 8.853991 1418156.288521
185 0.002476 6.773907 2.155068 8.928975 1425935.653191
186 0.002490 6.810498 2.193539 9.004037 1433638.110034
187 0.002503 6.846907 2.232456 9.079362 1441302.320949
188 0.002516 6.882944 2.271819 9.154763 1448888.280256
189 0.002530 6.918460 2.311630 9.230090 1456364.590304
190 0.002543 6.953793 2.351890 9.305683 1463802.249551
191 0.002556 6.988612 2.392060 9.380671 1471131.778258
192 0.002569 7.023016 2.432670 9.455686 1478374.130033
193 0.002582 7.057009 2.473723 9.530732 1485529.701416
194 0.002595 7.090737 2.515219 9.605955 1492629.536189
195 0.002608 7.124153 2.557159 9.681312 1499663.765483
196 0.002622 7.157257 2.599546 9.756803 1506632.283938
197 0.002635 7.190017 2.642381 9.832398 1513528.437386
198 0.002648 7.222410 2.685663 9.908073 1520347.293594
199 0.002661 7.254385 2.729396 9.983781 1527078.252603
200 0.002674 7.285983 2.773578 10.059561 1533729.694509
201 0.002687 7.316623 2.817569 10.134192 1540179.592772
202 0.002700 7.346803 2.861998 10.208801 1546532.650643
203 0.002713 7.376587 2.906867 10.283454 1552802.258243
204 0.002726 7.405873 2.952176 10.358049 1558967.021443
205 0.002739 7.434945 2.997925 10.432870 1565086.758834
206 0.002752 7.463734 3.044117 10.507851 1571147.072289
207 0.002764 7.492272 3.090751 10.583023 1577154.389814
208 0.002777 7.520477 3.137830 10.658307 1583091.711955
209 0.002790 7.548244 3.185353 10.733597 1588936.718659
210 0.002803 7.575563 3.233321 10.808884 1594687.412606
211 0.002816 7.601982 3.281030 10.883012 1600248.737353
212 0.002829 7.628005 3.329172 10.957177 1605726.778974
213 0.002841 7.653665 3.377747 11.031412 1611128.303230
214 0.002854 7.679039 3.426756 11.105794 1616469.553167
215 0.002867 7.704127 3.476199 11.180326 1621750.781039
216 0.002880 7.728875 3.526077 11.254952 1626960.234538
217 0.002892 7.753120 3.576391 11.329512 1632064.080579
218 0.002905 7.776836 3.627140 11.403976 1637056.257771
219 0.002918 7.800100 3.678324 11.478425 1641953.576156
220 0.002931 7.823163 3.729943 11.553107 1646808.439007
221 0.002943 7.845460 3.781152 11.626611 1651501.868671
222 0.002956 7.867128 3.832781 11.699909 1656063.102518
223 0.002968 7.888390 3.884832 11.773222 1660538.909134
224 0.002981 7.909254 3.937304 11.846558 1664930.858973
225 0.002993 7.929642 3.990198 11.919840 1669222.609412
226 0.003006 7.949684 4.043512 11.993196 1673441.452164
227 0.003018 7.969490 4.097248 12.066738 1677610.782023
228 0.003031 7.988920 4.151406 12.140326 1681700.931735
229 0.003043 8.008013 4.205985 12.213998 1685720.027247
230 0.003056 8.026731 4.260985 12.287716 1689660.151503
231 0.003068 8.044549 4.315539 12.360088 1693410.915012
232 0.003081 8.061949 4.370500 12.432449 1697073.844553
233 0.003093 8.078958 4.425868 12.504826 1700654.289462
234 0.003105 8.095366 4.481642 12.577008 1704108.099484
235 0.003118 8.111476 4.537822 12.649298 1707499.465259
236 0.003130 8.127211 4.594408 12.721619 1710811.637837
237 0.003142 8.142421 4.651399 12.793820 1714013.448852
238 0.003155 8.157310 4.708794 12.866105 1717147.687699
239 0.003167 8.171721 4.766594 12.938315 1720181.155038
240 0.003179 8.185661 4.824797 13.010458 1723115.716607
241 0.003191 8.199177 4.882537 13.081714 1725960.924525
242 0.003204 8.212270 4.940669 13.152939 1728717.057953
243 0.003216 8.224971 4.999190 13.224160 1731390.486825
244 0.003228 8.237399 5.058101 13.295500 1734006.715942
245 0.003240 8.249435 5.117401 13.366836 1736540.340871
246 0.003252 8.260888 5.177090 13.437978 1738951.250707
247 0.003264 8.271674 5.237166 13.508840 1741221.840186
248 0.003277 8.282180 5.297626 13.579806 1743433.247576
249 0.003289 8.292377 5.358473 13.650849 1745579.781405
250 0.003301 8.302152 5.419703 13.721855 1747637.497688
251 0.003313 8.311486 5.480456 13.791942 1749602.306006
252 0.003325 8.320268 5.541582 13.861850 1751451.097396
253 0.003337 8.328580 5.603078 13.931658 1753200.781484
254 0.003349 8.336764 5.664944 14.001707 1754923.428281
255 0.003361 8.344560 5.727180 14.071739 1756564.510829
256 0.003373 8.351655 5.789784 14.141439 1758058.195208
257 0.003385 8.358298 5.852754 14.211051 1759456.413083
258 0.003397 8.364612 5.916089 14.280701 1760785.671832
259 0.003409 8.370690 5.979789 14.350479 1762065.037012
260 0.003421 8.376417 6.043852 14.420269 1763270.553904
261 0.003432 8.381688 6.107441 14.489129 1764380.239353
262 0.003444 8.386548 6.171382 14.557930 1765403.214903
263 0.003456 8.390752 6.235673 14.626426 1766288.251216
264 0.003468 8.394660 6.300313 14.694974 1767110.906391
265 0.003480 8.398367 6.365301 14.763668 1767891.151168
266 0.003492 8.401481 6.430637 14.832118 1768546.686898
267 0.003503 8.404043 6.496316 14.900359 1769085.976365
268 0.003515 8.406175 6.562339 14.968514 1769534.804957
269 0.003527 8.407856 6.628703 15.036560 1769888.725398
270 0.003539 8.409227 6.695407 15.104634 1770177.179238
271 0.003551 8.410206 6.761667 15.171873 1770383.238096
272 0.003562 8.410816 6.828256 15.239072 1770511.634425
273 0.003574 8.411210 6.895174 15.306383 1770594.622339
274 0.003586 8.411148 6.962419 15.373566 1770581.537978
275 0.003597 8.410675 7.029988 15.440663 1770482.107514
276 0.003609 8.409769 7.097882 15.507651 1770291.291955
277 0.003621 8.408347 7.166097 15.574444 1769992.050257
278 0.003632 8.406695 7.234631 15.641326 1769644.244250
279 0.003644 8.404796 7.303485 15.708281 1769244.437927
280 0.003656 8.402343 7.372656 15.774999 1768728.152500
281 0.003667 8.399341 7.441415 15.840756 1768096.261635
282 0.003679 8.396014 7.510480 15.906493 1767395.796841
283 0.003691 8.392539 7.579849 15.972388 1766664.404589
284 0.003702 8.388812 7.649523 16.038335 1765879.776223
285 0.003714 8.384491 7.719499 16.103989 1764970.130143
286 0.003725 8.379680 7.789774 16.169453 1763957.421192
287 0.003737 8.374451 7.860346 16.234797 1762856.839827
288 0.003748 8.368708 7.931213 16.299921 1761647.819476
289 0.003760 8.362635 8.002373 16.365009 1760369.531246
290 0.003772 8.356293 8.073825 16.430117 1759034.316990
291 0.003783 8.349571 8.144893 16.494464 1757619.349409
292 0.003794 8.342579 8.216243 16.558822 1756147.597930
293 0.003806 8.335240 8.287873 16.623113 1754602.639372
294 0.003817 8.327426 8.359782 16.687208 1752957.875573
295 0.003829 8.319138 8.431967 16.751105 1751213.211018
296 0.003840 8.310511 8.504424 16.814935 1749397.120561
297 0.003852 8.301586 8.577153 16.878739 1747518.334044
298 0.003863 8.292227 8.650152 16.942379 1745548.255872
299 0.003875 8.282585 8.723417 17.006003 1743518.655767
300 0.003886 8.272643 8.796949 17.069592 1741425.847596
301 0.003898 8.262500 8.870131 17.132631 1739290.575958
302 0.003909 8.251963 8.943571 17.195534 1737072.428217
303 0.003920 8.241117 9.017266 17.258383 1734789.381157
304 0.003932 8.229884 9.091214 17.321098 1732424.823564
305 0.003943 8.218238 9.165411 17.383650 1729973.337193
306 0.003954 8.206341 9.239857 17.446199 1727469.002064
307 0.003966 8.194008 9.314549 17.508557 1724872.727012
308 0.003977 8.181270 9.389484 17.570754 1722191.366980
309 0.003988 8.168203 9.464660 17.632864 1719440.760681
310 0.004000 8.154767 9.540075 17.694842 1716612.368172
311 0.004011 8.140924 9.615193 17.756117 1713698.440372
312 0.004022 8.126753 9.690539 17.817292 1710715.239913
313 0.004034 8.112423 9.766114 17.878537 1707698.737737
314 0.004045 8.097730 9.841915 17.939644 1704605.748749
315 0.004056 8.082635 9.917938 18.000574 1701428.324888
316 0.004068 8.067156 9.994182 18.061338 1698169.866241
317 0.004079 8.051385 10.070643 18.122029 1694850.103390
318 0.004090 8.035279 10.147320 18.182599 1691459.565178
319 0.004101 8.018723 10.224210 18.242932 1687974.471879
320 0.004113 8.001766 10.301308 18.303075 1684405.078204
321 0.004124 7.984698 10.378165 18.362863 1680812.056822
322 0.004135 7.967449 10.455224 18.422674 1677181.185590
323 0.004146 7.949818 10.532484 18.482303 1673469.804827
324 0.004158 7.931819 10.609941 18.541760 1669680.776754
325 0.004169 7.913518 10.687593 18.601111 1665828.398292
326 0.004180 7.894941 10.765437 18.660378 1661917.826120
327 0.004191 7.876127 10.843471 18.719599 1657957.570242
328 0.004202 7.856971 10.921693 18.778664 1653925.132039
329 0.004214 7.837382 11.000098 18.837481 1649801.583735
330 0.004225 7.817492 11.078685 18.896177 1645614.564343
331 0.004236 7.797328 11.157087 18.954415 1641369.945365
332 0.004247 7.777029 11.235663 19.012692 1637096.964832
333 0.004258 7.756488 11.314412 19.070900 1632773.026785
334 0.004270 7.735485 11.393329 19.128814 1628351.779929
335 0.004281 7.714222 11.472413 19.186635 1623875.801687
336 0.004292 7.692568 11.551659 19.244227 1619317.545062
337 0.004303 7.670606 11.631066 19.301671 1614694.417638
338 0.004314 7.648539 11.710629 19.359168 1610049.211975
339 0.004325 7.626266 11.790349 19.416615 1605360.737613
340 0.004337 7.603578 11.870221 19.473799 1600584.761371
341 0.004348 7.580570 11.949964 19.530535 1595741.532981
342 0.004359 7.557424 12.029853 19.587276 1590869.088165
343 0.004370 7.534081 12.109884 19.643965 1585955.352211
344 0.004381 7.510371 12.190055 19.700427 1580964.367463
345 0.004392 7.486432 12.270363 19.756796 1575925.148923
346 0.004403 7.462292 12.350805 19.813098 1570843.554419
347 0.004414 7.437757 12.431379 19.869136 1565678.799493
348 0.004426 7.412742 12.512080 19.924822 1560412.996801
349 0.004437 7.387601 12.592904 19.980505 1555120.673466
350 0.004448 7.362410 12.673851 20.036260 1549817.874152
351 0.004459 7.336911 12.754718 20.091629 1544450.302576
352 0.004470 7.311017 12.835700 20.146717 1538999.538650
353 0.004481 7.284864 12.916794 20.201657 1533494.100769
354 0.004492 7.258427 12.997996 20.256423 1527929.011671
355 0.004503 7.231648 13.079303 20.310952 1522292.041414
356 0.004514 7.204739 13.160712 20.365451 1516627.522053
357 0.004526 7.177670 13.242221 20.419892 1510929.431966
358 0.004537 7.150264 13.323827 20.474091 1505160.316297
359 0.004548 7.122637 13.405525 20.528162 1499344.765381
360 0.004559 7.094837 13.487313 20.582150 1493492.720453
361 0.004570 7.066830 13.569048 20.635878 1487597.111654
362 0.004581 7.038625 13.650866 20.689491 1481659.789591
363 0.004592 7.010188 13.732765 20.742954 1475673.746875
364 0.004603 6.981612 13.814742 20.796354 1469658.384169
365 0.004614 6.952932 13.896794 20.849726 1463621.069772
366 0.004625 6.923751 13.978919 20.902670 1457478.284660
367 0.004636 6.894297 14.061110 20.955407 1451278.197323
368 0.004648 6.864680 14.143366 21.008046 1445043.769503
369 0.004659 6.834855 14.225683 21.060537 1438765.321146
370 0.004670 6.804882 14.308058 21.112940 1432456.026663
371 0.004681 6.774572 14.390420 21.164992 1426075.574980
372 0.004692 6.744149 14.472832 21.216981 1419671.351913
373 0.004703 6.713498 14.555294 21.268792 1413219.150407
374 0.004714 6.682557 14.637799 21.320356 1406706.032971
375 0.004725 6.651559 14.720346 21.371906 1400180.918177
376 0.004736 6.620230 14.802932 21.423162 1393585.917503
377 0.004747 6.588661 14.885551 21.474212 1386940.487614
378 0.004758 6.557092 14.968202 21.525294 1380295.180133
379 0.004769 6.525287 15.050882 21.576169 1373600.137688
380 0.004780 6.493222 15.133586 21.626808 1366850.289465
381 0.004792 6.461034 15.216328 21.677361 1360074.466474
382 0.004803 6.428649 15.299088 21.727737 1353257.289730
383 0.004814 6.396132 15.381863 21.777996 1346412.464796
384 0.004825 6.363401 15.464650 21.828052 1339522.403363
385 0.004836 6.330488 15.547445 21.877933 1332593.976040
386 0.004847 6.297528 15.630245 21.927773 1325655.769550
387 0.004858 6.264290 15.713047 21.977338 1318659.140504
388 0.004869 6.230903 15.795847 22.026750 1311630.954198
389 0.004880 6.197218 15.878642 22.075860 1304540.209062
390 0.004891 6.163279 15.961425 22.124704 1297395.903256
391 0.004902 6.129180 16.044280 22.173459 1290217.778152
392 0.004913 6.094918 16.127116 22.222034 1283005.539018
393 0.004925 6.060603 16.209933 22.270536 1275782.080246
394 0.004936 6.026126 16.292726 22.318852 1268524.664813
395 0.004947 5.991387 16.375492 22.366880 1261211.963580
396 0.004958 5.956633 16.458226 22.414860 1253896.104404
397 0.004969 5.921765 16.540928 22.462693 1246556.239099
398 0.004980 5.886707 16.623591 22.510298 1239176.347806
399 0.004991 5.851682 16.706214 22.557896 1231803.319707
400 0.005002 5.816310 16.788794 22.605103 1224357.384810
401 0.005013 5.780761 16.871484 22.652245 1216874.184884
402 0.005024 5.745131 16.954124 22.699255 1209373.927890
403 0.005035 5.709330 17.036707 22.746037 1201837.612593
404 0.005047 5.673465 17.119232 22.792697 1194287.939902
405 0.005058 5.637392 17.201695 22.839087 1186694.555883
406 0.005069 5.601204 17.284090 22.885294 1179076.730777
407 0.005080 5.564996 17.366415 22.931411 1171454.731207
408 0.005091 5.528728 17.448668 22.977396 1163820.324942
409 0.005102 5.492294 17.530844 23.023138 1156150.800447
410 0.005113 5.455775 17.612939 23.068714 1148463.345275
411 0.005124 5.418947 17.695169 23.114116 1140710.928026
412 0.005136 5.381946 17.777309 23.159255 1132922.103961
413 0.005147 5.344908 17.859356 23.204264 1125125.320002
414 0.005158 5.307754 17.941307 23.249061 1117304.227832
415 0.005169 5.270691 18.023158 23.293849 1109502.321865
416 0.005180 5.233475 18.104908 23.338383 1101668.292900
417 0.005191 5.196071 18.186550 23.382620 1093794.514758
418 0.005202 5.158689 18.268081 23.426771 1085925.560183
419 0.005213 5.121186 18.349499 23.470685 1078031.020703
420 0.005225 5.083558 18.430799 23.514356 1070109.996089
421 0.005236 5.045708 18.512234 23.557942 1062142.509433
422 0.005247 5.007883 18.593542 23.601426 1054180.231493
423 0.005258 4.969943 18.674722 23.644665 1046193.689924
424 0.005269 4.931874 18.755767 23.687641 1038180.084042
425 0.005280 4.893772 18.836674 23.730446 1030159.371451
426 0.005292 4.855688 18.917440 23.773128 1022142.437787
427 0.005303 4.817607 18.998062 23.815669 1014126.345033
428 0.005314 4.779418 19.078536 23.857954 1006087.344896
429 0.005325 4.741118 19.158857 23.899975 998024.949783
430 0.005336 4.702882 19.239022 23.941904 989976.237118
431 0.005348 4.664599 19.319359 23.983959 981917.564806
432 0.005359 4.626168 19.399533 24.025702 973827.699750
433 0.005370 4.587663 19.479539 24.067202 965722.209824
434 0.005381 4.549119 19.559373 24.108492 957608.400206
435 0.005392 4.510643 19.639032 24.149675 949509.019379
436 0.005404 4.472224 19.718514 24.190738 941421.714791
437 0.005415 4.433663 19.797814 24.231477 933304.490603
438 0.005426 4.395083 19.876927 24.272009 925183.161456
439 0.005437 4.356452 19.955851 24.312303 917051.243983
440 0.005449 4.317863 20.034580 24.352443 908928.204999
441 0.005460 4.279082 20.113517 24.392599 900764.613572
442 0.005471 4.240119 20.192250 24.432369 892562.676684
443 0.005482 4.201222 20.270774 24.471996 884374.713302
444 0.005494 4.162397 20.349089 24.511486 876201.903559
445 0.005505 4.123582 20.427188 24.550770 868031.092636
446 0.005516 4.084711 20.505069 24.589781 859848.734117
447 0.005528 4.045751 20.582727 24.628478 851647.338600
448 0.005539 4.006953 20.660158 24.667112 843480.284696
449 0.005550 3.968223 20.737361 24.705584 835327.335380
450 0.005561 3.929560 20.814330 24.743890 827188.719246
451 0.005573 3.890829 20.891490 24.782319 819035.715847
452 0.005584 3.852023 20.968409 24.820432 810866.941983
453 0.005595 3.813263 21.045081 24.858343 802707.636520
454 0.005607 3.774472 21.121504 24.895976 794542.017884
455 0.005618 3.735615 21.197671 24.933286 786362.480913
456 0.005629 3.696875 21.273580 24.970455 778207.587379
457 0.005641 3.658120 21.349228 25.007348 770049.430634
458 0.005652 3.619450 21.424608 25.044058 761909.189669
459 0.005663 3.580950 21.499720 25.080670 753804.767762
460 0.005675 3.542486 21.574560 25.117046 745707.982865
461 0.005686 3.503791 21.649591 25.153382 737562.596811
462 0.005698 3.465179 21.724337 25.189516 729434.517204
463 0.005709 3.426631 21.798797 25.225428 721320.008702
464 0.005720 3.388159 21.872965 25.261124 713221.572716
465 0.005732 3.349832 21.946839 25.296671 705153.514973
466 0.005743 3.311569 22.020416 25.331985 697099.006879
467 0.005755 3.273370 22.093691 25.367062 689058.079988
468 0.005766 3.235263 22.166662 25.401925 681036.389385
469 0.005777 3.197202 22.239323 25.436525 673024.377473
470 0.005789 3.159293 22.311671 25.470964 665044.241216
471 0.005800 3.121261 22.384236 25.505497 657038.472702
472 0.005812 3.083297 22.456477 25.539774 649046.839384
473 0.005823 3.045392 22.528391 25.573783 641067.627668
474 0.005835 3.007569 22.599972 25.607542 633105.844639
475 0.005846 2.969861 22.671219 25.641080 625168.117813
476 0.005858 2.932349 22.742126 25.674475 617271.740334
477 0.005869 2.894950 22.812692 25.707642 609399.066196
478 0.005881 2.857536 22.882912 25.740448 601523.307399
479 0.005892 2.820238 22.952780 25.773019 593671.908919
480 0.005904 2.783105 23.022295 25.805400 585855.085257
481 0.005915 2.745708 23.092044 25.837752 577982.974654
482 0.005927 2.708450 23.161424 25.869874 570139.889627
483 0.005939 2.671382 23.230434 25.901815 562336.937525
484 0.005950 2.634422 23.299068 25.933490 554556.804671
485 0.005962 2.597674 23.367324 25.964998 546821.108779
486 0.005973 2.561090 23.435199 25.996289 539120.032521
487 0.005985 2.524595 23.502689 26.027284 531437.703428
488 0.005997 2.488289 23.569790 26.058079 523795.138999
