# CORRECTED Energy tracking following working EnergyContributionTracker pattern
# Output period: 10 steps
# All energies in Hartree (atomic units)
# Column definitions:
#   time(ps): simulation time in picoseconds
#   timestep: simulation timestep number
#   harmonic_energy: harmonic bond potential energy
#   lj_energy: Lennard-Jones potential energy
#   ewald_short_energy: short-range Coulomb energy
#   ewald_long_energy: long-range Coulomb energy
#   cavity_harmonic_energy: cavity harmonic potential energy
#   cavity_coupling_energy: cavity-molecule coupling energy
#   cavity_dipole_self_energy: dipole self-energy
#   cavity_total_potential_energy: total cavity potential energy
#   molecular_kinetic_energy: molecular kinetic energy
#   cavity_kinetic_energy: cavity kinetic energy
#   total_kinetic_energy: total kinetic energy
#   total_potential_energy: total potential energy
#   system_total_energy: total system energy (KE + PE)
#   molecular_reservoir_energy: molecular reservoir energy
#   cavity_reservoir_energy: cavity reservoir energy
#   total_reservoir_energy: total reservoir energy
#   universe_total_energy: universe total energy (system + reservoir) [CONSERVED]
#   temperature: kinetic temperature (K)
time(ps) timestep harmonic_energy lj_energy ewald_short_energy ewald_long_energy cavity_harmonic_energy cavity_coupling_energy cavity_dipole_self_energy cavity_total_potential_energy molecular_kinetic_energy cavity_kinetic_energy total_kinetic_energy total_potential_energy system_total_energy molecular_reservoir_energy cavity_reservoir_energy total_reservoir_energy universe_total_energy temperature
0.068614 4460 9.461177 -0.683215 -0.338144 -0.393808 9.384513 -16.504684 7.260719 0.140548 0.590846 0.498186 1.089032 8.186558 9.275590 0.047602 0.043677 0.091280 9.366870 82.917019
0.068774 4470 9.549610 -0.682736 -0.338327 -0.393984 9.625307 -16.703921 7.249189 0.170576 0.501179 0.469366 0.970545 8.305138 9.275683 0.047520 0.043669 0.091188 9.366872 70.333461
0.068933 4480 9.553290 -0.682404 -0.338466 -0.394139 9.860181 -16.889800 7.233623 0.204004 0.495383 0.438086 0.933469 8.342285 9.275754 0.047445 0.043679 0.091123 9.366877 69.520117
0.069093 4490 9.471906 -0.682219 -0.338561 -0.394271 10.088372 -17.061905 7.214136 0.240603 0.573398 0.404707 0.978105 8.297458 9.275563 0.047632 0.043694 0.091327 9.366890 80.468442
0.069253 4500 9.306069 -0.682177 -0.338613 -0.394382 10.308963 -17.219723 7.190848 0.280088 0.734930 0.369612 1.104542 8.170985 9.275527 0.047661 0.043692 0.091353 9.366881 103.137211
0.069415 4510 9.057312 -0.682275 -0.338619 -0.394472 10.521023 -17.362770 7.163885 0.322137 0.978177 0.333050 1.311227 7.964083 9.275310 0.047703 0.043879 0.091582 9.366892 137.273572
0.069577 4520 8.728093 -0.682506 -0.338581 -0.394539 10.723487 -17.490494 7.133375 0.366368 1.300849 0.295778 1.596627 7.678834 9.275461 0.047504 0.043941 0.091445 9.366906 182.556111
0.069741 4530 8.321877 -0.682862 -0.338497 -0.394585 10.915160 -17.602283 7.099462 0.412338 1.698857 0.258158 1.957015 7.318272 9.275287 0.047609 0.043950 0.091559 9.366846 238.410996
0.069908 4540 7.843144 -0.683332 -0.338365 -0.394609 11.094730 -17.697486 7.062296 0.459539 2.168268 0.220683 2.388951 6.886378 9.275329 0.047415 0.044118 0.091534 9.366863 304.286298
0.070077 4550 7.297464 -0.683903 -0.338186 -0.394611 11.260756 -17.775402 7.022040 0.507394 2.702998 0.184120 2.887119 6.388158 9.275277 0.047388 0.044210 0.091597 9.366874 379.328216
0.070249 4560 6.691591 -0.684562 -0.337956 -0.394590 11.411622 -17.835254 6.978872 0.555240 3.296308 0.149074 3.445382 5.829722 9.275104 0.047482 0.044276 0.091758 9.366862 462.591054
0.070424 4570 6.033590 -0.685293 -0.337675 -0.394547 11.545429 -17.876114 6.932989 0.602303 3.940266 0.116271 4.056537 5.218378 9.274916 0.047559 0.044368 0.091927 9.366843 552.961579
0.070605 4580 5.332903 -0.686077 -0.337339 -0.394480 11.659988 -17.896893 6.884604 0.647700 4.625634 0.086750 4.712383 4.562706 9.275089 0.047432 0.044323 0.091755 9.366844 649.143423
0.070790 4590 4.600652 -0.686895 -0.336946 -0.394391 11.752673 -17.896246 6.833958 0.690384 5.341090 0.061169 5.402259 3.872805 9.275064 0.047342 0.044421 0.091763 9.366827 749.547721
0.070983 4600 3.849939 -0.687724 -0.336490 -0.394277 11.820303 -17.872506 6.781323 0.729121 6.072809 0.040948 6.113757 3.160569 9.274326 0.048084 0.044408 0.092492 9.366818 852.234342
0.071184 4610 3.096475 -0.688539 -0.335966 -0.394138 11.858920 -17.823521 6.727027 0.762426 6.805949 0.027249 6.833199 2.440258 9.273457 0.048910 0.044431 0.093341 9.366797 955.120440
0.071395 4620 2.359176 -0.689310 -0.335367 -0.393974 11.863385 -17.746376 6.671450 0.788460 7.522518 0.021788 7.544306 1.728985 9.273291 0.049064 0.044420 0.093484 9.366775 1055.680828
0.071621 4630 1.661753 -0.690002 -0.334680 -0.393782 11.826662 -17.636869 6.615068 0.804860 8.197507 0.026588 8.224095 1.048150 9.272245 0.050061 0.044453 0.094514 9.366759 1150.406208
0.071866 4640 1.035926 -0.690566 -0.333886 -0.393561 11.738059 -17.488286 6.558535 0.808308 8.801293 0.044681 8.845974 0.426220 9.272194 0.050130 0.044428 0.094558 9.366752 1235.139218
0.072139 4650 0.528551 -0.690933 -0.332955 -0.393307 11.579969 -17.289108 6.502876 0.793737 9.286385 0.080405 9.366790 -0.094907 9.271883 0.050379 0.044465 0.094844 9.366727 1303.215044
0.072462 4660 0.221301 -0.690975 -0.331819 -0.393012 11.316524 -17.014750 6.449943 0.751718 9.571347 0.142153 9.713501 -0.442787 9.270714 0.051325 0.044676 0.096001 9.366714 1343.205627
0.072858 4670 0.295842 -0.690427 -0.330401 -0.392682 10.885457 -16.627069 6.407534 0.665922 9.477415 0.243470 9.720885 -0.451746 9.269139 0.052866 0.044719 0.097585 9.366724 1330.023544
0.073248 4680 0.836580 -0.689264 -0.329041 -0.392426 10.360982 -16.203467 6.394668 0.552182 8.928611 0.362184 9.290795 -0.021969 9.268826 0.053340 0.044582 0.097922 9.366747 1253.006451
0.073563 4690 1.567796 -0.687914 -0.328003 -0.392291 9.875859 -15.837149 6.407821 0.446530 8.197134 0.464582 8.661716 0.606118 9.267834 0.054386 0.044532 0.098918 9.366752 1150.353927
0.073835 4700 2.363180 -0.686498 -0.327178 -0.392240 9.423450 -15.508997 6.437481 0.351935 7.405675 0.551970 7.957645 1.309198 9.266844 0.055348 0.044633 0.099980 9.366824 1039.283628
0.074080 4710 3.171092 -0.685060 -0.326509 -0.392254 8.996105 -15.206760 6.479432 0.268777 6.603632 0.625908 7.229540 2.036047 9.265587 0.056347 0.044961 0.101308 9.366895 926.728057
0.074307 4720 3.964737 -0.683619 -0.325961 -0.392323 8.588615 -14.923059 6.531620 0.197177 5.817649 0.687957 6.505606 2.760010 9.265616 0.056273 0.044960 0.101233 9.366848 816.426161
0.074520 4730 4.724533 -0.682190 -0.325520 -0.392442 8.198891 -14.654087 6.592746 0.137551 5.065026 0.738250 5.803276 3.461931 9.265208 0.056502 0.045168 0.101671 9.366878 710.806016
0.074724 4740 5.436591 -0.680785 -0.325172 -0.392607 7.825553 -14.397287 6.661973 0.090239 4.359145 0.777503 5.136648 4.128266 9.264914 0.056840 0.045178 0.102018 9.366932 611.745456
0.074920 4750 6.090170 -0.679413 -0.324912 -0.392813 7.467903 -14.151057 6.738692 0.055537 3.710527 0.805774 4.516302 4.748569 9.264871 0.056917 0.045083 0.102000 9.366871 520.720959
0.075109 4760 6.676971 -0.678081 -0.324733 -0.393060 7.125592 -13.914381 6.822445 0.033656 3.126745 0.822935 3.949680 5.314753 9.264433 0.056966 0.045499 0.102465 9.366898 438.795242
0.075294 4770 7.190499 -0.676794 -0.324632 -0.393345 6.798462 -13.686614 6.912859 0.024706 2.613712 0.830053 3.443765 5.820435 9.264200 0.057130 0.045573 0.102702 9.366903 366.798231
0.075476 4780 7.625787 -0.675557 -0.324605 -0.393667 6.486403 -13.467323 7.009608 0.028688 2.176051 0.827079 3.003130 6.260646 9.263776 0.057377 0.045835 0.103212 9.366988 305.378591
0.075654 4790 7.979257 -0.674374 -0.324650 -0.394024 6.189465 -13.256384 7.112401 0.045482 1.817079 0.814700 2.631780 6.631691 9.263471 0.057637 0.045842 0.103479 9.366950 255.001845
0.075829 4800 8.248604 -0.673248 -0.324766 -0.394414 5.907668 -13.053793 7.220969 0.074844 1.538809 0.793404 2.332212 6.931020 9.263232 0.057921 0.045767 0.103689 9.366921 215.950393
0.076003 4810 8.432715 -0.672180 -0.324950 -0.394836 5.641105 -12.859772 7.335063 0.116396 1.342489 0.763540 2.106029 7.157145 9.263174 0.057853 0.045927 0.103780 9.366954 188.399686
0.076175 4820 8.531559 -0.671172 -0.325201 -0.395288 5.389889 -12.674698 7.454434 0.169625 1.227550 0.725987 1.953537 7.309523 9.263060 0.057844 0.046025 0.103869 9.366930 172.269592
0.076346 4830 8.546135 -0.670223 -0.325516 -0.395770 5.154058 -12.498986 7.578816 0.233888 1.192672 0.681689 1.874361 7.388513 9.262874 0.058072 0.046052 0.104124 9.366999 167.374942
0.076517 4840 8.478449 -0.669335 -0.325895 -0.396279 4.933779 -12.333338 7.707933 0.308374 1.235930 0.631106 1.867035 7.395315 9.262350 0.058359 0.046251 0.104610 9.366960 173.445542
0.076687 4850 8.331471 -0.668506 -0.326335 -0.396813 4.729168 -12.178538 7.841509 0.392138 1.354624 0.575499 1.930123 7.331956 9.262079 0.058387 0.046469 0.104855 9.366934 190.102704
0.076858 4860 8.109119 -0.667734 -0.326835 -0.397371 4.540337 -12.035487 7.979233 0.484084 1.544389 0.516311 2.060700 7.201262 9.261963 0.058608 0.046356 0.104964 9.366927 216.733567
0.077029 4870 7.816223 -0.667017 -0.327394 -0.397951 4.367448 -11.905267 8.120774 0.582955 1.800337 0.454267 2.254605 7.006816 9.261420 0.059137 0.046340 0.105477 9.366897 252.652325
0.077201 4880 7.458511 -0.666352 -0.328009 -0.398552 4.210681 -11.789111 8.265769 0.687338 2.117747 0.390885 2.508632 6.752936 9.261569 0.059085 0.046269 0.105354 9.366923 297.196368
0.077374 4890 7.042611 -0.665737 -0.328678 -0.399170 4.070346 -11.688540 8.413816 0.795622 2.489599 0.327293 2.816892 6.444647 9.261540 0.059019 0.046344 0.105362 9.366902 349.380624
0.077549 4900 6.576070 -0.665168 -0.329400 -0.399804 3.946789 -11.605229 8.564461 0.906021 2.908761 0.265161 3.173922 6.087718 9.261641 0.058763 0.046532 0.105295 9.366936 408.204177
0.077727 4910 6.067375 -0.664640 -0.330172 -0.400451 3.840495 -11.541132 8.717182 1.016545 3.366649 0.206304 3.572954 5.688657 9.261611 0.058727 0.046579 0.105306 9.366916 472.462446
0.077907 4920 5.525935 -0.664148 -0.330992 -0.401107 3.752065 -11.498445 8.871391 1.125011 3.854058 0.152511 4.006569 5.254698 9.261267 0.059096 0.046557 0.105653 9.366919 540.863504
0.078091 4930 4.962167 -0.663688 -0.331858 -0.401771 3.682329 -11.479731 9.026405 1.229004 4.361568 0.105704 4.467272 4.793854 9.261126 0.059345 0.046411 0.105756 9.366882 612.085404
0.078278 4940 4.387531 -0.663253 -0.332766 -0.402438 3.632439 -11.488051 9.181435 1.325823 4.878119 0.067812 4.945931 4.314898 9.260829 0.059638 0.046423 0.106061 9.366890 684.576250
0.078471 4950 3.814682 -0.662837 -0.333713 -0.403104 3.603943 -11.527027 9.335545 1.412460 5.391865 0.041251 5.433117 3.827489 9.260605 0.059839 0.046428 0.106266 9.366872 756.673384
0.078670 4960 3.257647 -0.662432 -0.334695 -0.403764 3.598911 -11.600957 9.487606 1.485560 5.889767 0.028621 5.918388 3.342316 9.260704 0.059754 0.046400 0.106154 9.366858 826.546996
0.078876 4970 2.732134 -0.662032 -0.335710 -0.404412 3.620108 -11.714948 9.636221 1.541381 6.355743 0.032691 6.388433 2.871361 9.259794 0.060704 0.046368 0.107073 9.366867 891.940150
0.079091 4980 2.255728 -0.661627 -0.336752 -0.405041 3.671449 -11.875493 9.779681 1.575637 6.775195 0.056440 6.831635 2.427946 9.259581 0.060811 0.046463 0.107274 9.366855 950.804480
0.079318 4990 1.848895 -0.661209 -0.337816 -0.405642 3.758600 -12.091036 9.915724 1.583288 7.127891 0.103855 7.231747 2.027517 9.259263 0.061196 0.046398 0.107593 9.366857 1000.300496
0.079560 5000 1.535990 -0.660767 -0.338896 -0.406202 3.890036 -12.373132 10.041313 1.558218 7.391236 0.179057 7.570293 1.688343 9.258636 0.061751 0.046414 0.108165 9.366801 1037.257256
0.079819 5010 1.349248 -0.660297 -0.339970 -0.406698 4.076487 -12.733647 10.150803 1.493643 7.535540 0.286347 7.821887 1.435926 9.257814 0.062515 0.046543 0.109058 9.366872 1057.508400
0.080091 5020 1.321728 -0.659812 -0.340985 -0.407091 4.325053 -13.173650 10.235044 1.386446 7.532670 0.425195 7.957865 1.300286 9.258150 0.062146 0.046531 0.108677 9.366828 1057.105574
0.080359 5030 1.458303 -0.659356 -0.341854 -0.407341 4.625742 -13.664659 10.284878 1.245960 7.378528 0.583387 7.961915 1.295712 9.257626 0.062671 0.046510 0.109181 9.366807 1035.473882
0.080616 5040 1.728097 -0.658961 -0.342546 -0.407442 4.966856 -14.180719 10.299791 1.085928 7.104110 0.748225 7.852336 1.405077 9.257413 0.062905 0.046537 0.109442 9.366855 996.963132
0.080863 5050 2.096979 -0.658642 -0.343070 -0.407408 5.344829 -14.711457 10.282900 0.916272 6.740792 0.912450 7.653243 1.604130 9.257373 0.063021 0.046503 0.109524 9.366897 945.976534
0.081101 5060 2.535942 -0.658418 -0.343438 -0.407249 5.758608 -15.250647 10.236962 0.744923 6.314774 1.069864 7.384638 1.871761 9.256399 0.063300 0.047190 0.110490 9.366889 886.190756
0.081334 5070 3.019298 -0.658306 -0.343658 -0.406975 6.207414 -15.792566 10.164194 0.579042 5.849889 1.217137 7.067026 2.189401 9.256427 0.063212 0.047202 0.110414 9.366842 820.950696
0.081562 5080 3.524240 -0.658327 -0.343738 -0.406591 6.690703 -16.332017 10.066423 0.425109 5.365644 1.349471 6.715115 2.540693 9.255808 0.063770 0.047344 0.111114 9.366922 752.993528
0.081787 5090 4.030232 -0.658501 -0.343684 -0.406103 7.207889 -16.863991 9.945189 0.289087 4.881418 1.463173 6.344591 2.911031 9.255622 0.063896 0.047348 0.111244 9.366866 685.039235
0.082009 5100 4.518432 -0.658848 -0.343500 -0.405515 7.757926 -17.383271 9.801899 0.176554 4.413487 1.554843 5.968330 3.287122 9.255452 0.063948 0.047567 0.111514 9.366966 619.371529
0.082231 5110 4.971546 -0.659385 -0.343190 -0.404830 8.339197 -17.884493 9.637942 0.092647 3.977310 1.622047 5.599357 3.656787 9.256144 0.063559 0.047216 0.110775 9.366919 558.160165
0.082451 5120 5.374034 -0.660129 -0.342758 -0.404053 8.949507 -18.362256 9.454691 0.041942 3.584680 1.661468 5.246149 4.009037 9.255186 0.064318 0.047394 0.111712 9.366897 503.060087
0.082672 5130 5.711926 -0.661092 -0.342206 -0.403185 9.585379 -18.810727 9.253717 0.028368 3.249063 1.671781 4.920844 4.333812 9.254657 0.064609 0.047660 0.112269 9.366926 455.960869
0.082892 5140 5.972984 -0.662276 -0.341540 -0.402235 10.240919 -19.223303 9.037229 0.054846 2.980157 1.651934 4.632091 4.621779 9.253870 0.065005 0.048000 0.113006 9.366875 418.223655
0.083111 5150 6.147841 -0.663674 -0.340771 -0.401212 10.906638 -19.592715 8.808589 0.122511 2.786080 1.602678 4.388758 4.864695 9.253453 0.065170 0.048301 0.113471 9.366924 390.987582
0.083328 5160 6.232303 -0.665263 -0.339911 -0.400130 11.571892 -19.913105 8.571470 0.230257 2.669780 1.525863 4.195642 5.057256 9.252898 0.065347 0.048667 0.114013 9.366912 374.666469
0.083541 5170 6.227344 -0.667017 -0.338972 -0.399002 12.227245 -20.181222 8.329163 0.375186 2.630106 1.425370 4.055476 5.197539 9.253015 0.065276 0.048716 0.113992 9.367007 369.098784
0.083753 5180 6.137595 -0.668910 -0.337966 -0.397833 12.865638 -20.396076 8.083952 0.553513 2.661948 1.304031 3.965979 5.286399 9.252378 0.065338 0.049213 0.114551 9.366929 373.567478
0.083962 5190 5.969762 -0.670919 -0.336897 -0.396631 13.480856 -20.557579 7.837585 0.760862 2.758928 1.166965 3.925893 5.326177 9.252071 0.065364 0.049534 0.114899 9.366969 387.177176
0.084170 5200 5.732061 -0.673016 -0.335775 -0.395399 14.066783 -20.666111 7.591616 0.992288 2.913001 1.018988 3.931988 5.320160 9.252148 0.065597 0.049167 0.114764 9.366912 408.799150
0.084377 5210 5.433740 -0.675178 -0.334602 -0.394140 14.617623 -20.722433 7.347314 1.242503 3.115780 0.864104 3.979885 5.272323 9.252207 0.065776 0.048918 0.114694 9.366901 437.256494
0.084584 5220 5.084888 -0.677381 -0.333383 -0.392858 15.127156 -20.727217 7.105800 1.505739 3.357733 0.706966 4.064699 5.187005 9.251704 0.066134 0.049155 0.115289 9.366993 471.211202
0.084792 5230 4.696482 -0.679600 -0.332123 -0.391556 15.588605 -20.681132 6.868187 1.775661 3.629640 0.553240 4.182881 5.068864 9.251745 0.065938 0.049272 0.115210 9.366955 509.369606
0.085001 5240 4.280253 -0.681813 -0.330823 -0.390235 15.994920 -20.584981 6.635541 2.045479 3.920178 0.408538 4.328717 4.922861 9.251578 0.066019 0.049308 0.115327 9.366904 550.142571
0.085212 5250 3.848616 -0.683998 -0.329487 -0.388898 16.338602 -20.439572 6.408896 2.307925 4.218681 0.278377 4.497058 4.754158 9.251216 0.066089 0.049645 0.115734 9.366950 592.033270
0.085426 5260 3.414664 -0.686133 -0.328117 -0.387548 16.611526 -20.245638 6.189300 2.555188 4.513495 0.169340 4.682835 4.568053 9.250888 0.066409 0.049588 0.115998 9.366886 633.406345
0.085644 5270 2.992187 -0.688197 -0.326716 -0.386188 16.805065 -20.003958 5.977860 2.778966 4.793195 0.087662 4.880857 4.370052 9.250910 0.066584 0.049390 0.115974 9.366883 672.658331
0.085866 5280 2.595579 -0.690170 -0.325284 -0.384820 16.909610 -19.714997 5.775734 2.970346 5.045468 0.039570 5.085038 4.165651 9.250689 0.066763 0.049434 0.116197 9.366886 708.061352
0.086095 5290 2.239934 -0.692034 -0.323824 -0.383448 16.914264 -19.378810 5.584226 3.119680 5.257802 0.032482 5.290284 3.960309 9.250593 0.066922 0.049373 0.116295 9.366888 737.859474
0.086331 5300 1.941073 -0.693767 -0.322338 -0.382076 16.807070 -18.995187 5.404872 3.216755 5.417130 0.073442 5.490572 3.759647 9.250219 0.067238 0.049452 0.116690 9.366909 760.218896
0.086577 5310 1.715462 -0.695351 -0.320829 -0.380710 16.574525 -18.563282 5.239514 3.250758 5.510338 0.169959 5.680298 3.569330 9.249627 0.067687 0.049583 0.117270 9.366897 773.299391
0.086834 5320 1.580153 -0.696765 -0.319297 -0.379357 16.200429 -18.080716 5.090386 3.210099 5.524076 0.329820 5.853895 3.394832 9.248728 0.068292 0.049887 0.118179 9.366906 775.227283
0.087103 5330 1.552623 -0.697973 -0.317767 -0.378044 15.673541 -17.550790 4.962091 3.084842 5.447150 0.557458 6.004608 3.243681 9.248288 0.068343 0.050267 0.118610 9.366898 764.431774
0.087378 5340 1.641444 -0.698930 -0.316291 -0.376820 15.001110 -16.987428 4.860729 2.874411 5.276272 0.847506 6.123778 3.123814 9.247592 0.068872 0.050388 0.119259 9.366851 740.451469
0.087645 5350 1.831826 -0.699601 -0.314956 -0.375760 14.230529 -16.422946 4.791685 2.599268 5.031042 1.174919 6.205961 3.040777 9.246739 0.069617 0.050517 0.120133 9.366872 706.036905
0.087900 5360 2.095442 -0.700016 -0.313786 -0.374878 13.402905 -15.871996 4.753438 2.284347 4.738605 1.517107 6.255711 2.991109 9.246820 0.069428 0.050587 0.120015 9.366835 664.997336
0.088145 5370 2.406743 -0.700220 -0.312774 -0.374163 12.541832 -15.335246 4.742456 1.949043 4.418432 1.859041 6.277473 2.968629 9.246101 0.069676 0.051126 0.120802 9.366903 620.065522
0.088381 5380 2.745209 -0.700250 -0.311906 -0.373601 11.661932 -14.809260 4.755833 1.608505 4.086905 2.190732 6.277637 2.967957 9.245594 0.069884 0.051399 0.121283 9.366877 573.540264
0.088610 5390 3.093329 -0.700134 -0.311173 -0.373181 10.775298 -14.290747 4.791511 1.276062 3.757233 2.502828 6.260060 2.984903 9.244964 0.070147 0.051662 0.121809 9.366773 527.275376
0.088834 5400 3.436078 -0.699891 -0.310570 -0.372895 9.891868 -13.776407 4.848043 0.963504 3.441615 2.788305 6.229920 3.016227 9.246147 0.069387 0.051362 0.120749 9.366896 482.982842
0.089055 5410 3.760409 -0.699538 -0.310091 -0.372737 9.020158 -13.263126 4.924439 0.681471 3.146965 3.038983 6.185947 3.059513 9.245460 0.070066 0.051395 0.121461 9.366921 441.632750
0.089273 5420 4.054927 -0.699086 -0.309735 -0.372704 8.167839 -12.748228 5.020055 0.439665 2.883435 3.248242 6.131677 3.113068 9.244745 0.069915 0.052229 0.122144 9.366889 404.650035
0.089489 5430 4.309715 -0.698541 -0.309501 -0.372792 7.341635 -12.229270 5.134506 0.246871 2.656887 3.412731 6.069618 3.175752 9.245371 0.069617 0.051900 0.121518 9.366888 372.857153
0.089704 5440 4.516205 -0.697908 -0.309388 -0.373001 6.547519 -11.704134 5.267591 0.110975 2.472258 3.525578 5.997836 3.246884 9.244720 0.069534 0.052587 0.122121 9.366841 346.947050
0.089919 5450 4.667149 -0.697190 -0.309396 -0.373328 5.790924 -11.171228 5.419256 0.038952 2.333039 3.584319 5.917358 3.326187 9.243545 0.070256 0.053091 0.123347 9.366891 327.409604
0.090135 5460 4.756635 -0.696386 -0.309528 -0.373773 5.076412 -10.629238 5.589574 0.036748 2.243767 3.586445 5.830212 3.413695 9.243908 0.070100 0.052894 0.122994 9.366902 314.881545
0.090353 5470 4.780113 -0.695495 -0.309786 -0.374337 4.408037 -10.077532 5.778719 0.109223 2.204616 3.529078 5.733694 3.509717 9.243411 0.070498 0.052933 0.123431 9.366842 309.387262
0.090572 5480 4.734419 -0.694512 -0.310172 -0.375020 3.789138 -9.516099 5.986971 0.260010 2.217196 3.411187 5.628383 3.614725 9.243108 0.070183 0.053514 0.123697 9.366805 311.152631
0.090795 5490 4.617836 -0.693431 -0.310689 -0.375823 3.222388 -8.945708 6.214683 0.491362 2.279506 3.234473 5.513979 3.729255 9.243234 0.070189 0.053410 0.123600 9.366834 319.896966
0.091022 5500 4.430159 -0.692242 -0.311342 -0.376748 2.709678 -8.367960 6.462284 0.804002 2.389243 2.999799 5.389042 3.853830 9.242873 0.070492 0.053610 0.124102 9.366975 335.297012
0.091255 5510 4.172916 -0.690934 -0.312135 -0.377796 2.252481 -7.786030 6.730185 1.196636 2.543109 2.711003 5.254112 3.988688 9.242800 0.070542 0.053599 0.124141 9.366940 356.890034
0.091494 5520 3.849578 -0.689493 -0.313073 -0.378971 1.851557 -7.204784 7.018800 1.665573 2.735068 2.373231 5.108299 4.133614 9.241913 0.070843 0.054097 0.124940 9.366853 383.828829
0.091741 5530 3.466319 -0.687904 -0.314162 -0.380274 1.507329 -6.632012 7.328166 2.203482 2.958306 1.996261 4.954567 4.287462 9.242029 0.070500 0.054362 0.124862 9.366891 415.157129
0.091998 5540 3.033055 -0.686150 -0.315404 -0.381704 1.219767 -6.079487 7.657528 2.797808 3.201330 1.592982 4.794312 4.447605 9.241917 0.070496 0.054509 0.125005 9.366922 449.262219
0.092266 5550 2.564444 -0.684218 -0.316800 -0.383258 0.988149 -5.564001 8.004922 3.429069 3.450136 1.181334 4.631470 4.609238 9.240708 0.071080 0.055156 0.126237 9.366944 484.178673
0.092544 5560 2.081655 -0.682102 -0.318338 -0.384921 0.811203 -5.109161 8.365935 4.067976 3.688148 0.787825 4.475973 4.764271 9.240244 0.071222 0.055420 0.126641 9.366885 517.580298
0.092833 5570 1.611978 -0.679809 -0.319997 -0.386666 0.686504 -4.744138 8.733412 4.675778 3.894074 0.444409 4.338483 4.901284 9.239767 0.071776 0.055383 0.127159 9.366926 546.479150
0.093133 5580 1.182897 -0.677340 -0.321759 -0.388473 0.610409 -4.500173 9.100858 5.211095 4.049108 0.184016 4.233124 5.006419 9.239543 0.071803 0.055546 0.127349 9.366892 568.236110
0.093448 5590 0.823022 -0.674693 -0.323604 -0.390322 0.581057 -4.413916 9.461023 5.628164 4.132923 0.043692 4.176615 5.062566 9.239181 0.072263 0.055484 0.127747 9.366928 579.998306
0.093780 5600 0.562626 -0.671873 -0.325507 -0.392189 0.601482 -4.530909 9.804532 5.875105 4.127497 0.063335 4.190831 5.048163 9.238994 0.072411 0.055546 0.127957 9.366951 579.236793
0.094134 5610 0.432942 -0.668898 -0.327434 -0.394038 0.683701 -4.907758 10.118578 5.894522 4.015972 0.286198 4.302169 4.937094 9.239263 0.072221 0.055454 0.127675 9.366938 563.585847
0.094510 5620 0.461739 -0.665860 -0.329307 -0.395798 0.852000 -5.600171 10.381711 5.633540 3.789627 0.744989 4.534615 4.704315 9.238930 0.072737 0.055216 0.127953 9.366883 531.821469
0.094885 5630 0.644785 -0.663029 -0.330955 -0.397313 1.128780 -6.589712 10.563944 5.103012 3.476963 1.406075 4.883038 4.356499 9.239538 0.072542 0.054838 0.127380 9.366918 487.943493
0.095227 5640 0.919372 -0.660709 -0.332228 -0.398457 1.504746 -7.733604 10.654227 4.425369 3.142566 2.142825 5.285391 3.953348 9.238739 0.072783 0.055473 0.128256 9.366995 441.015536
0.095540 5650 1.233191 -0.658860 -0.333182 -0.399296 1.979773 -8.961810 10.671455 3.689418 2.818891 2.888606 5.707497 3.531271 9.238768 0.073044 0.055066 0.128110 9.366878 395.592224
0.095833 5660 1.555310 -0.657413 -0.333882 -0.399895 2.559816 -10.242904 10.630957 2.947869 2.520802 3.605854 6.126656 3.111989 9.238645 0.072627 0.055561 0.128187 9.366833 353.759529
0.096113 5670 1.865829 -0.656319 -0.334372 -0.400298 3.252633 -11.558192 10.542799 2.237240 2.254437 4.270768 6.525205 2.712080 9.237285 0.072980 0.056678 0.129657 9.366943 316.378977
0.096383 5680 2.149792 -0.655546 -0.334681 -0.400534 4.064628 -12.890978 10.414102 1.587752 2.025876 4.864930 6.890806 2.346782 9.237588 0.073197 0.056065 0.129262 9.366851 284.303487
0.096646 5690 2.395834 -0.655073 -0.334830 -0.400626 5.000728 -14.226027 10.250371 1.025072 1.838116 5.368083 7.206199 2.030377 9.236576 0.073377 0.057056 0.130434 9.367010 257.954043
0.096905 5700 2.595204 -0.654881 -0.334836 -0.400588 6.063812 -15.548762 10.056215 0.571266 1.692770 5.766677 7.459447 1.776165 9.235612 0.073397 0.057904 0.131301 9.366913 237.556775
0.097161 5710 2.741366 -0.654952 -0.334712 -0.400434 7.254401 -16.845171 9.835774 0.245004 1.589414 6.048778 7.638192 1.596271 9.234464 0.073739 0.058470 0.132209 9.366673 223.052199
0.097416 5720 2.829935 -0.655270 -0.334468 -0.400174 8.570974 -18.102423 9.592743 0.061294 1.527177 6.204887 7.732064 1.501317 9.233381 0.073923 0.059568 0.133491 9.366872 214.318092
0.097670 5730 2.858423 -0.655815 -0.334115 -0.399818 10.009448 -19.308393 9.330530 0.031585 1.503567 6.228320 7.731886 1.500260 9.232147 0.073883 0.060809 0.134692 9.366839 211.004698
0.097926 5740 2.826142 -0.656568 -0.333661 -0.399372 11.562432 -20.451330 9.052441 0.163543 1.514592 6.116732 7.631323 1.600084 9.231407 0.073950 0.061478 0.135429 9.366836 212.551873
0.098184 5750 2.734182 -0.657509 -0.333111 -0.398844 13.219476 -21.520459 8.761662 0.460679 1.555582 5.869930 7.425511 1.805397 9.230908 0.074114 0.061820 0.135934 9.366842 218.304266
