# Master F(k,t) file for bussi_langevin_no_finiteq_coupling_1eneg03 - k=1.00
# Cumulative average across 1 replicas
# Time grid: 0 to 1000.000 ps with 10001 points (dt = 0.1 ps)
# Valid data points: 66 (with at least 1 sample)
# Sample count range: 1 to 1
# Generated by process_fskt_only.py
# Columns: lag_time fskt
lag_time	fskt
0.1	1.4213578469836436
0.2	1.3327218748895708
0.30000000000000004	1.244376287375199
0.4	1.1636120526685723
0.5	1.098405468737037
0.6000000000000001	1.0352032105073754
0.7000000000000001	0.9682201997531515
0.8	0.9252873047964713
0.9	0.9003573076913829
1.0	0.8847674120098672
1.1	0.8823553024913826
1.2000000000000002	0.8939081462330121
1.3	0.9187848340706505
1.4000000000000001	0.9631763021863369
1.5	1.0273297143308309
1.6	1.058917099567908
1.7000000000000002	0.9937302968852754
1.8	0.8687957941637179
1.9000000000000001	0.7897919395198624
2.0	0.8125747253310872
2.1	0.877640080321979
2.2	0.9142697318118996
2.3000000000000003	0.906830384123932
2.4000000000000004	0.8760548256085722
2.5	0.8404561941090672
2.6	0.8029927394121219
2.7	0.7613670615179648
2.8000000000000003	0.7151912135427583
2.9000000000000004	0.673193984556812
3.0	0.6468162438503101
3.1	0.6469100306237455
3.2	0.6727733234010913
3.3000000000000003	0.7131624442147256
3.4000000000000004	0.7564830738378931
3.5	0.7944091862760964
3.6	0.824467066834537
3.7	0.8447910770177464
3.8000000000000003	0.8538817996131893
3.9000000000000004	0.8526672966478236
4.0	0.843063266232055
4.1000000000000005	0.8269878443884789
4.2	0.8060701795373034
4.3	0.7811500462732737
4.4	0.7529336726243645
4.5	0.722135762779845
4.6000000000000005	0.6900265577053629
4.7	0.6587655305206165
4.800000000000001	0.630592034856726
4.9	0.6077387340581936
5.0	0.591345260055556
5.1000000000000005	0.5802557059321667
5.2	0.5730246039788873
5.300000000000001	0.5682065545483076
5.4	0.5647141974124988
5.5	0.5626536969220731
5.6000000000000005	0.5623796094988348
5.7	0.5642464915645885
5.800000000000001	0.5685412220884347
5.9	0.5748886837869238
6.0	0.582539292894051
6.1000000000000005	0.5907392135202973
6.2	0.598734609776144
6.300000000000001	0.605771645772072
6.4	0.6110964856185623
6.5	0.6139552934260963
6.6000000000000005	0.6135942333051552
