# frequency_cm-1 spectrum_qm_au
0.000000000000000000e+00 0.000000000000000000e+00
3.335687838368875391e-01 6.545510451111667969e+12
6.671375676737750782e-01 2.594454215366270703e+13
1.000706351510662673e+00 5.751909906850463281e+13
1.334275135347550156e+00 1.002442282121820625e+14
1.667843919184437640e+00 1.528751964945260000e+14
2.001412703021325346e+00 2.140781564521101875e+14
2.334981486858212829e+00 2.825400517760878125e+14
2.668550270695100313e+00 3.570451055947288750e+14
3.002119054531987796e+00 4.365166138911753750e+14
3.335687838368875280e+00 5.200302682300333750e+14
3.669256622205763207e+00 6.068081598805195000e+14
4.002825406042650691e+00 6.962021811264652500e+14
4.336394189879538175e+00 7.876734475663803750e+14
4.669962973716425658e+00 8.807719513819118750e+14
5.003531757553313142e+00 9.751186385694447500e+14
5.337100541390200625e+00 1.070390709108112375e+15
5.670669325227088109e+00 1.166310118670853000e+15
6.004238109063975593e+00 1.262634862340203000e+15
6.337806892900863076e+00 1.359152489108913750e+15
6.671375676737750560e+00 1.455675309671491000e+15
7.004944460574638931e+00 1.552036838969916500e+15
7.338513244411526415e+00 1.648089112376276750e+15
7.672082028248413899e+00 1.743700606494557500e+15
8.005650812085301382e+00 1.838754572564094500e+15
8.339219595922187978e+00 1.933147650208583500e+15
8.672788379759076349e+00 2.026788673291978750e+15
9.006357163595962945e+00 2.119597610758679000e+15
9.339925947432851316e+00 2.211504606559175500e+15
9.673494731269739688e+00 2.302449096761442500e+15
1.000706351510662628e+01 2.392378990855014000e+15
1.034063229894351288e+01 2.481249909695616500e+15
1.067420108278040125e+01 2.569024475690416000e+15
1.100776986661728962e+01 2.655671652513946000e+15
1.134133865045417622e+01 2.741166132436673000e+15
1.167490743429106281e+01 2.825487769621879000e+15
1.200847621812795119e+01 2.908621057735454000e+15
1.234204500196483956e+01 2.990554650076986000e+15
1.267561378580172615e+01 3.071280920262336000e+15
1.300918256963861275e+01 3.150795561322498000e+15
1.334275135347550112e+01 3.229097220954221000e+15
1.367632013731239127e+01 3.306187170575790000e+15
1.400988892114927786e+01 3.382069005805641000e+15
1.434345770498616268e+01 3.456748375991602000e+15
1.467702648882305283e+01 3.530232740462726000e+15
1.501059527265994120e+01 3.602531149253489000e+15
1.534416405649682780e+01 3.673654046147779500e+15
1.567773284033371439e+01 3.743613092005876000e+15
1.601130162417060276e+01 3.812421006463464500e+15
1.634487040800749114e+01 3.880091426224724000e+15
1.667843919184437596e+01 3.946638778304459000e+15
1.701200797568126433e+01 4.012078166708140000e+15
1.734557675951815270e+01 4.076425271168504000e+15
1.767914554335504107e+01 4.139696256681789000e+15
1.801271432719192589e+01 4.201907692704566500e+15
