# F(k,t) correlation function
# Reference time: 0.000 ps
# lag_time_ps	F(k,t)
0.000000	926.68533991
1.000036	660.91880911
2.000077	710.26972396
3.000090	669.97457893
4.000100	697.14168429
5.000109	574.28218839
6.000118	551.54512445
7.000120	563.43099553
8.000130	486.50009306
9.000141	545.53939857
10.000160	536.56018610
11.000168	528.31747733
12.000186	443.05623153
13.000199	412.42305258
14.000206	518.09979417
15.000245	474.35628523
16.000258	448.67022235
17.000272	509.97078448
18.000297	406.42450131
19.000310	366.03089653
20.000316	477.27570856
21.000321	468.93662365
22.000361	516.60196871
23.000378	489.91321678
24.000409	370.48083859
25.000411	456.32875507
26.000419	557.27008896
27.000446	369.04339392
28.000448	426.83612041
29.000451	382.66290112
30.000460	385.14741590
31.000465	396.92105187
32.000482	385.84906193
33.000499	355.73523487
34.000499	353.78010266
35.000520	378.06568639
36.000521	321.40036145
37.000542	303.90066995
38.000565	335.72339309
39.000576	338.88618959
40.000589	199.87863859
41.000599	258.87357060
42.000614	293.08641952
43.000618	364.80730814
44.000642	435.80943735
45.000645	369.90635986
46.000664	354.13340595
47.000678	371.10538656
48.000698	330.71872826
49.000699	386.39380024
50.000710	355.42641441
51.000717	340.74777157
52.000726	337.16142387
53.000745	398.40918746
54.000752	319.63287214
55.000766	316.14583115
56.000770	417.73001590
57.000847	284.40637962
58.000856	332.09558987
59.000874	262.87456214
60.000875	379.62054488
61.000888	392.65020355
62.000914	355.90998687
63.000923	313.84132076
64.000971	386.95424911
65.000981	298.43600000
66.000981	449.33938013
67.000984	292.36252037
68.000984	405.67546508
69.000989	311.04129552
70.001019	382.86925644
71.001025	349.81744458
72.001033	368.26982252
73.001045	372.85445084
74.001058	435.36202568
75.001066	501.98312067
76.001077	394.93377613
77.001080	490.19818184
78.001090	404.34756668
79.001105	344.61495894
80.001124	342.33862624
81.001166	437.30330349
82.001222	334.23045689
83.001238	340.65699235
84.001263	307.33187481
85.001285	370.03250927
86.001307	362.30462403
87.001322	425.70154429
88.001350	310.81171514
89.001376	386.79081944
90.001405	310.20754946
91.001421	272.13348505
92.001435	260.35185516
93.001455	381.33286966
94.001473	358.30890582
95.001474	330.20300062
96.001480	404.86382293
97.001505	310.45002428
98.001552	353.61954797
99.001554	374.36645838
100.001562	477.05690799
101.001587	425.11080007
102.001599	386.97294986
103.001600	382.41116152
104.001635	360.54843129
105.001649	473.56864148
106.001662	435.61387151
107.001669	469.02221752
108.001675	466.41847882
109.001692	445.15251860
110.001694	490.93643813
111.001706	449.81684675
112.001722	432.67718136
113.001729	334.30372381
114.001730	348.79518968
115.001753	361.35501357
116.001761	344.69545700
117.001764	373.77426506
118.001782	362.20666465
119.001784	426.44638108
120.001795	360.48546276
121.001839	397.53317978
122.001858	382.15222062
123.001861	454.58889646
124.001893	402.02310915
125.001907	471.34339692
126.001935	383.30238515
127.001954	433.74729652
128.001968	481.85681393
129.001979	482.35760151
130.001995	536.41836929
131.002007	492.36915833
132.002024	494.15438940
133.002037	377.59056170
134.002050	387.22479558
135.002074	444.68660506
136.002081	428.92929326
137.002087	393.03388832
138.002092	397.10796186
139.002104	420.31913397
140.002129	427.51916967
141.002137	398.49171204
142.002148	430.15944065
143.002163	504.82078474
144.002175	391.25264241
145.002175	409.59567499
146.002176	437.69157319
147.002218	460.80057271
148.002233	477.29382820
149.002245	498.60330147
150.002276	510.90015185
151.002277	525.83700476
152.002291	458.68838672
153.002309	411.18407960
154.002313	418.83945531
155.002326	444.33300888
156.002340	433.00610291
157.002376	449.85900670
158.002396	464.24268835
159.002403	516.78506341
160.002416	507.72212302
161.002435	503.68386350
162.002487	396.81282717
163.002494	353.59205281
164.002496	453.20109376
165.002508	433.52026781
166.002523	429.15053407
167.002524	417.33188092
168.002641	498.31579692
169.002659	411.35302336
170.002675	341.51949036
171.002682	353.17876956
172.002684	446.28134961
173.002694	452.85870331
174.002701	458.83330789
175.002704	477.81862230
176.002705	465.63700808
177.002723	411.15407839
178.002742	408.45523994
179.002743	364.16725073
180.002753	359.22246603
181.002754	499.30960419
182.002762	400.39198400
183.002765	475.92748474
184.002772	444.22457649
185.002793	408.41289711
