# F(k,t) correlation function
# Reference time: 0.000 ps
# lag_time_ps	F(k,t)
0.000000	926.57985359
1.000010	716.64174180
2.000011	686.58432938
3.000016	676.20401622
4.000020	642.44355493
5.000022	595.64921099
6.000067	716.10499755
7.000072	554.98867344
8.000104	588.64083147
9.000163	575.41195280
10.000190	611.61653539
11.000249	615.91670149
12.000307	635.88639700
13.000318	588.07735010
14.000359	647.49145715
15.000377	707.77913823
16.000380	562.94723069
17.000427	635.92875115
18.000429	674.64502629
19.000441	713.89537165
20.000473	615.44963007
21.000477	653.30413525
22.000483	631.16514233
23.000524	655.05284737
24.000553	550.93590307
25.000553	666.72159617
26.000596	650.46648716
27.000620	566.49851877
28.000625	700.29313774
29.000677	678.40739164
30.000700	604.27400799
31.000748	601.33217786
32.000865	599.77703829
33.000876	583.02456610
34.000917	571.57989646
35.000940	571.74628101
36.000969	547.48287107
37.001000	548.88675595
38.001033	629.70450993
39.001047	628.61210904
40.001069	613.86949873
41.001069	686.53690900
42.001074	636.46139403
43.001125	586.66743704
44.001125	568.48118747
45.001142	634.82519135
46.001146	626.74284025
47.001152	540.62447537
48.001160	632.33026083
49.001168	548.46817050
50.001174	620.22413455
51.001180	631.82914423
52.001193	558.97897594
53.001222	588.48525463
54.001281	678.85824155
55.001293	706.24059305
56.001309	514.17787423
57.001322	546.64584806
58.001324	679.73594690
59.001355	622.32748704
60.001364	534.59405231
61.001382	541.70246223
62.001398	477.30465749
63.001408	448.70937764
64.001411	495.09038879
65.001440	441.52808209
66.001475	558.52892442
67.001492	460.82896213
68.001493	541.99557103
69.001505	477.49662649
70.001518	482.60496951
71.001536	461.30527713
72.001545	445.91608852
73.001569	510.32283782
74.001592	442.97513726
75.001602	467.33317387
76.001622	405.55883066
77.001633	393.68691707
78.001655	510.53182215
79.001677	485.19847478
80.001698	489.32748395
81.001701	459.42317072
82.001708	364.52067001
83.001733	476.13413085
84.001768	469.26912271
85.001817	409.45830074
86.001869	411.49861266
87.001878	285.23390238
88.001930	367.33286363
89.001942	455.66708622
90.001950	393.19999305
91.001952	494.10482459
92.001973	514.30872365
93.001974	476.53088724
94.001975	473.85534135
95.001985	505.46470446
96.002034	426.58530596
97.002039	510.19458461
98.002046	454.29095675
99.002056	437.68499418
100.002064	460.10555780
101.002064	435.67214720
102.002070	492.63346718
103.002072	536.42179664
104.002095	392.27802608
105.002107	514.03936838
106.002141	364.84641997
107.002145	418.94084854
108.002147	460.83712799
109.002158	461.69602279
110.002182	407.51707643
111.002196	431.09467006
112.002238	322.91055960
113.002252	428.59168607
114.002271	409.37567309
115.002306	382.74302888
116.002324	349.82566046
117.002334	453.39669427
118.002338	364.29115797
119.002370	363.38813873
120.002385	406.95727786
121.002392	382.08133891
122.002397	372.91478484
123.002398	347.74168464
124.002404	383.47892541
125.002413	329.45188635
126.002437	459.64688523
127.002465	400.85123811
128.002484	398.13387829
129.002521	384.72331080
130.002536	444.10041321
131.002549	388.06691280
132.002562	380.17814801
133.002575	295.88404020
134.002593	319.54345438
135.002597	327.22857939
136.002602	380.25515991
137.002635	368.61202781
138.002642	356.98789920
139.002677	331.71642642
140.002694	400.23961296
141.002729	317.71741679
142.002738	455.10218483
143.002744	413.29378329
144.002752	501.34947326
145.002755	371.01859373
146.002756	422.94336129
147.002788	402.52882513
148.002803	456.16667676
149.002815	497.58933801
150.002817	380.10578506
151.002823	391.45735578
152.002826	308.50227773
153.002834	432.68591400
154.002850	435.40693635
155.002854	427.58837098
156.002855	465.69147646
157.002860	404.55545716
158.002886	435.64934741
159.002896	385.82863108
160.002898	436.72092395
161.002903	425.49658612
162.002935	413.64287491
163.002940	337.42708285
164.002953	386.62858477
165.002959	349.38191289
166.002983	366.85821026
167.003022	451.00181097
168.003055	440.59212633
169.003107	478.49430446
170.003108	561.68784660
171.003122	402.96980984
172.003128	465.51894268
173.003139	434.83511347
174.003157	385.76558616
175.003168	431.77801298
176.003187	432.84536736
177.003202	461.38031919
178.003213	451.21218445
179.003220	383.66696834
180.003231	358.21901470
181.003238	363.29476580
182.003254	416.01435062
183.003282	356.05782253
184.003295	476.49739651
