# F(k,t) correlation function
# Reference time: 0.000 ps
# lag_time_ps	F(k,t)
0.000000	926.67167303
1.000004	677.67947165
2.000015	597.67390973
3.000023	579.57975244
4.000047	661.59560323
5.000047	712.10341925
6.000056	612.13687177
7.000097	626.34141822
8.000116	607.33191321
9.000125	746.98978396
10.000146	648.60235516
11.000152	573.94189214
12.000153	535.33021016
13.000186	514.85808050
14.000186	528.71020460
15.000200	613.66181977
16.000245	550.28883828
17.000266	637.69265751
18.000336	515.66543178
19.000347	506.26772415
20.000350	576.66939977
21.000377	567.80400401
22.000397	586.55764060
23.000420	608.19364968
24.000471	533.98920629
25.000482	620.29957717
26.000489	608.52858189
27.000509	581.31519564
28.000517	519.10988599
29.000570	567.90174102
30.000592	576.31602170
31.000598	549.33359451
32.000647	555.02242377
33.000668	594.48527866
34.000680	588.43220150
35.000686	622.01989189
36.000794	576.07990972
37.000794	546.62337748
38.000808	544.13926707
39.000881	643.50162924
40.000946	509.75913731
41.000962	551.60389196
42.000972	502.92999698
43.000996	543.95187253
44.001018	469.95056711
45.001067	596.40305342
46.001071	523.67481580
47.001092	633.42523614
48.001093	494.75312525
49.001114	547.65824099
50.001142	472.98036317
51.001164	479.79133065
52.001205	520.56628078
53.001211	579.69608662
54.001217	502.33543218
55.001224	490.14719505
56.001231	473.11213129
57.001235	514.57707663
58.001258	425.63619500
59.001258	521.74223397
60.001270	443.42756189
61.001305	519.04436873
62.001314	485.21856872
63.001347	419.01332018
64.001355	454.53130892
65.001408	537.03263564
66.001418	524.92914464
67.001426	502.00799695
68.001434	503.78150624
69.001441	393.72230988
70.001457	481.78217552
71.001470	538.65955410
72.001498	549.80614246
73.001533	508.58773988
74.001551	612.88704910
75.001561	681.67030819
76.001564	581.28844542
77.001579	511.48447749
78.001619	583.35628324
79.001635	529.24872841
80.001647	514.99687034
81.001660	532.80281830
82.001674	520.21497646
83.001691	467.40985946
84.001698	466.11284328
85.001699	464.22566749
86.001752	541.35470071
87.001769	467.91978289
88.001781	464.90146129
89.001800	493.60475519
90.001811	466.49184340
91.001857	365.10679844
92.001860	505.90323848
93.001861	405.13989806
94.001876	455.87804698
95.001910	443.95502337
96.001969	552.13170767
97.002003	442.95499674
98.002018	436.71117327
99.002040	483.71600303
100.002046	432.65747182
101.002071	515.43872613
102.002104	461.25040624
103.002110	457.64096382
104.002117	382.14168859
105.002174	400.74347275
106.002200	403.55669294
107.002210	415.98510647
108.002229	408.44686111
109.002259	397.01314896
110.002270	424.25149746
111.002283	316.89505494
112.002320	468.56884411
113.002327	455.37918700
114.002364	354.43586234
115.002372	411.05933704
116.002394	460.01165411
117.002411	294.57430033
118.002430	378.06298898
119.002445	338.28229188
120.002463	369.94557305
121.002492	448.28228212
122.002496	421.64908187
123.002509	339.11809968
124.002512	392.19568065
125.002526	405.60712412
126.002535	388.31497828
127.002536	387.80179178
128.002556	375.10029232
129.002625	356.03653548
130.002632	455.61140354
131.002649	431.74287962
132.002662	346.37709910
133.002688	393.02822059
134.002696	379.42195902
135.002701	355.54843797
136.002711	473.23420198
137.002717	388.93197710
138.002733	459.29329432
139.002809	419.19760858
140.002827	355.94015108
141.002842	281.33019120
142.002846	342.96750318
143.002869	411.66358875
144.002871	384.24097370
145.002916	333.09498447
146.002936	374.22868679
147.002943	292.69747148
148.002971	397.79532861
149.002974	351.94083866
150.002982	320.53114626
151.002986	404.08491491
152.002988	362.44359193
153.002997	358.23218547
154.003046	324.47087974
155.003053	404.49279093
156.003068	365.08021405
157.003075	335.74339373
158.003087	259.05749408
159.003108	389.30793187
160.003113	300.29935960
161.003113	349.15065155
162.003144	297.35086382
163.003156	281.18646748
164.003180	202.07151345
165.003208	341.92513825
166.003213	345.56945266
167.003223	243.26604710
168.003242	264.77632883
169.003244	271.90007667
170.003245	280.91205259
171.003255	323.12764592
172.003296	275.91655785
173.003332	286.56681349
174.003341	233.82995981
175.003347	362.17092758
176.003350	313.20679530
177.003403	257.05986457
178.003439	342.18562772
179.003442	333.00626740
180.003456	313.70129218
181.003486	311.76673405
182.003504	266.98046540
183.003514	351.62652287
184.003525	300.35693760
185.003533	332.49025486
