# Material time functions for all couplings (staging adapter output)
# Criterion: F(k,t) = 0.1, corrected least-squares reconstruction
# Each column pair is (time_ps, xi) for one coupling.
#
t_0_ps xi_0 t_0p01_ps xi_0p01 t_0p016667_ps xi_0p016667 t_0p023333_ps xi_0p023333 t_0p03_ps xi_0p03
4.386674e+01 3.777681e-01 4.388055e+01 -5.886627e-02 4.382664e+01 1.774243e-01 4.388956e+01 9.262572e-02 4.389702e+01 5.015423e-02
4.505233e+01 3.879780e-01 4.506651e+01 -6.045725e-02 4.501114e+01 1.822195e-01 4.507576e+01 9.512911e-02 4.508343e+01 5.150975e-02
4.623792e+01 3.981349e-01 4.625247e+01 -6.135258e-02 4.619564e+01 1.870130e-01 4.626197e+01 9.763554e-02 4.626983e+01 5.286362e-02
4.742350e+01 4.079834e-01 4.743843e+01 -5.820301e-02 4.738015e+01 1.917960e-01 4.744817e+01 1.001596e-01 4.745624e+01 5.420787e-02
4.860909e+01 4.178319e-01 4.862439e+01 -5.505344e-02 4.856465e+01 1.965790e-01 4.863437e+01 1.026836e-01 4.864264e+01 5.555212e-02
4.979468e+01 4.276805e-01 4.981035e+01 -5.190387e-02 4.974916e+01 2.013620e-01 4.982058e+01 1.052077e-01 4.982905e+01 5.689637e-02
5.098027e+01 4.375290e-01 5.099631e+01 -4.875431e-02 5.093366e+01 2.061451e-01 5.100678e+01 1.077318e-01 5.101546e+01 5.824062e-02
5.216585e+01 4.473775e-01 5.218227e+01 -4.560474e-02 5.211816e+01 2.109281e-01 5.219299e+01 1.102558e-01 5.220186e+01 5.958487e-02
5.335144e+01 4.572260e-01 5.336823e+01 -4.245517e-02 5.330267e+01 2.157111e-01 5.337919e+01 1.127799e-01 5.338827e+01 6.092912e-02
5.453703e+01 4.670745e-01 5.455420e+01 -3.930560e-02 5.448717e+01 2.204941e-01 5.456540e+01 1.153039e-01 5.457467e+01 6.227337e-02
5.572262e+01 4.769230e-01 5.574016e+01 -3.615603e-02 5.567167e+01 2.252771e-01 5.575160e+01 1.178280e-01 5.576108e+01 6.361763e-02
5.690820e+01 4.867715e-01 5.692612e+01 -3.300646e-02 5.685618e+01 2.300602e-01 5.693780e+01 1.203520e-01 5.694749e+01 6.496188e-02
5.809379e+01 4.966200e-01 5.811208e+01 -2.985689e-02 5.804068e+01 2.348432e-01 5.812401e+01 1.228761e-01 5.813389e+01 6.630613e-02
5.927938e+01 5.064685e-01 5.929804e+01 -2.670732e-02 5.922519e+01 2.396262e-01 5.931021e+01 1.254001e-01 5.932030e+01 6.765038e-02
6.046497e+01 5.163170e-01 6.048400e+01 -2.355775e-02 6.040969e+01 2.444092e-01 6.049642e+01 1.279242e-01 6.050670e+01 6.899463e-02
6.165055e+01 5.261656e-01 6.166996e+01 -2.040818e-02 6.159419e+01 2.491923e-01 6.168262e+01 1.304482e-01 6.169311e+01 7.033888e-02
6.283614e+01 5.360141e-01 6.285592e+01 -1.725861e-02 6.277870e+01 2.539753e-01 6.286883e+01 1.329723e-01 6.287952e+01 7.168313e-02
6.402173e+01 5.458626e-01 6.404188e+01 -1.410904e-02 6.396320e+01 2.587583e-01 6.405503e+01 1.354963e-01 6.406592e+01 7.302738e-02
6.520732e+01 5.557111e-01 6.522784e+01 -1.095947e-02 6.514770e+01 2.635413e-01 6.524123e+01 1.380204e-01 6.525233e+01 7.437163e-02
