# F(k,t) correlation function
# Reference time: 0.000 ps
# lag_time_ps	F(k,t)
0.000000	926.49818759
1.000004	663.15482494
2.000006	761.29300022
3.000014	605.54460603
4.000021	647.38565766
5.000039	638.16441971
6.000052	630.28887585
7.000069	732.24890047
8.000072	642.80760552
9.000075	630.67481135
10.000077	562.78086885
11.000093	573.29308844
12.000094	502.02617831
13.000096	674.89610245
14.000131	662.20459722
15.000145	454.32395625
16.000160	622.97983399
17.000168	567.51041823
18.000175	653.64251889
19.000192	590.58331921
20.000203	472.64576030
21.000204	538.48912354
22.000215	530.87553934
23.000263	560.64606610
24.000279	502.24273208
25.000304	606.19753344
26.000309	525.04598663
27.000316	550.57359946
28.000352	464.28325072
29.000357	590.18810299
30.000379	525.51188743
31.000401	443.16813724
32.000405	478.39818572
33.000421	510.85985101
34.000436	403.25809266
35.000483	454.58154102
36.000493	507.67270089
37.000493	527.01290578
38.000508	563.28761587
39.000513	515.20247469
40.000517	391.95883559
41.000534	413.67626803
42.000543	440.42622517
43.000609	430.23808420
44.000610	505.46952061
45.000611	433.79242584
46.000623	363.11759157
47.000625	418.33700617
48.000631	482.80433195
49.000640	368.90290428
50.000653	316.40896848
51.000655	374.92011874
52.000668	378.02603912
53.000675	414.46997816
54.000689	436.08883270
55.000720	378.06073783
56.000737	371.61733901
57.000754	379.24379322
58.000773	465.09593917
59.000782	483.84410653
60.000792	525.88015362
61.000795	445.80368571
62.000797	449.78883330
63.000818	425.34624148
64.000818	531.46485051
65.000833	524.86800757
66.000871	540.57506000
67.000875	566.02347779
68.000876	538.11357790
69.000903	552.69764010
70.000937	531.96127534
71.000980	531.51767635
72.000994	409.13009319
73.001010	567.83367077
74.001026	510.66180465
75.001046	566.85770654
76.001065	537.35207912
77.001080	575.75405309
78.001097	509.75441023
79.001102	410.36619600
80.001106	489.39936500
81.001130	496.02131413
82.001159	482.25909390
83.001175	532.16018904
84.001250	429.74783750
85.001256	501.30187698
86.001275	529.61375631
87.001316	623.15506224
88.001322	484.75431172
89.001330	569.45178499
90.001340	566.94136334
91.001355	493.17179922
92.001356	456.50763187
93.001379	404.30927540
94.001396	421.77118310
95.001425	360.79256618
96.001431	230.59135362
97.001442	323.26425123
98.001450	361.65527049
99.001464	310.58122958
100.001485	297.70871761
101.001497	358.11842498
102.001499	412.64981282
103.001512	406.23783261
104.001526	312.40869169
105.001532	337.76109141
106.001546	391.02727678
107.001550	300.74533561
108.001560	352.68809927
109.001595	344.93091098
110.001599	362.85619298
111.001625	374.71101681
112.001635	227.48672159
113.001649	359.93618937
114.001659	242.64602963
115.001685	305.74411961
116.001688	274.82174579
117.001714	257.22409315
118.001717	269.39221681
119.001743	367.61419211
120.001788	259.26023267
121.001807	365.35856553
122.001818	338.38163376
123.001928	327.06777223
124.001972	256.62519034
125.001976	298.58936385
126.001984	339.51129306
127.002000	215.97713134
128.002004	320.48858573
129.002019	308.55709574
130.002022	319.33568119
131.002027	307.30383238
132.002027	311.88494919
133.002042	405.79306337
134.002067	337.00526127
135.002073	303.19257944
136.002088	335.15088905
137.002094	291.00929725
138.002140	253.89596470
139.002142	275.68959822
140.002166	229.63657352
141.002172	288.35418806
142.002185	232.28550508
143.002198	184.67515816
144.002205	295.35129116
145.002209	290.96676866
146.002228	306.41478389
147.002246	347.84629036
148.002254	279.62764496
149.002270	270.86205739
150.002282	321.77650341
151.002300	206.12978465
152.002318	276.89604714
153.002324	308.87614670
154.002327	285.60438396
155.002340	305.92845320
156.002341	359.66577861
157.002343	324.28624253
158.002390	205.34661418
159.002396	227.35157272
160.002402	241.42810132
161.002410	189.14699105
162.002425	283.94273811
163.002442	246.45950661
164.002461	167.55411098
165.002474	230.57022650
166.002496	290.45740650
167.002506	179.71487793
168.002538	211.50998193
169.002555	172.92266400
170.002581	199.69458835
171.002670	159.21947393
172.002679	172.33166075
173.002681	161.80292600
174.002743	124.43815137
175.002751	51.15906555
176.002764	175.85468688
177.002765	156.96770020
178.002765	121.17393510
179.002790	137.89225089
