# Density autocorrelation tracking
# Output period: 1000 steps
# Reference interval: 294211 steps
# kmag = 1.0, num_wavevectors = 50
# t0_step t0(ps) t_step t(ps) F(k,t)
2 0.000000 1000 0.067328 1.375753
2 0.000000 2000 0.209303 1.450532
2 0.000000 3000 0.415260 1.323812
2 0.000000 4000 0.696196 1.234554
2 0.000000 5000 1.058939 1.109366
2 0.000000 6000 1.483970 1.088171
2 0.000000 7000 1.990725 1.114872
2 0.000000 8000 2.567823 1.048863
2 0.000000 9000 3.183847 1.170791
2 0.000000 10000 3.855839 1.151022
2 0.000000 11000 4.572799 1.082032
2 0.000000 12000 5.343350 1.110690
2 0.000000 13000 6.163378 1.144888
2 0.000000 14000 7.024370 1.125465
2 0.000000 15000 7.910101 1.100005
2 0.000000 16000 8.852807 1.215025
2 0.000000 17000 9.817073 1.037096
2 0.000000 18000 10.808107 1.183839
2 0.000000 19000 11.854475 1.133350
2 0.000000 20000 12.908327 1.067609
2 0.000000 21000 13.980512 1.159201
2 0.000000 22000 15.086770 1.141193
2 0.000000 23000 16.198670 1.183787
2 0.000000 24000 17.346952 1.178224
2 0.000000 25000 18.516514 1.001437
2 0.000000 26000 19.684849 1.142654
2 0.000000 27000 20.866612 0.937428
2 0.000000 28000 22.055706 1.046351
2 0.000000 29000 23.268829 0.979570
2 0.000000 30000 24.477216 0.851299
2 0.000000 31000 25.672532 0.966367
2 0.000000 32000 26.879842 0.912056
2 0.000000 33000 28.083321 1.022628
2 0.000000 34000 29.319175 0.970654
2 0.000000 35000 30.539631 0.952379
2 0.000000 36000 31.770823 0.926459
2 0.000000 37000 33.021479 0.889322
2 0.000000 38000 34.249948 0.884192
2 0.000000 39000 35.470590 0.926321
2 0.000000 40000 36.723159 1.064682
2 0.000000 41000 37.968283 0.760266
2 0.000000 42000 39.214684 0.861569
2 0.000000 43000 40.451688 0.855995
2 0.000000 44000 41.683388 0.848338
2 0.000000 45000 42.924026 0.755667
2 0.000000 46000 44.212972 0.873169
2 0.000000 47000 45.476475 0.887499
2 0.000000 48000 46.717443 0.768830
2 0.000000 49000 47.965434 0.779759
2 0.000000 50000 49.240226 0.886463
2 0.000000 51000 50.513814 0.924813
2 0.000000 52000 51.785168 0.862964
2 0.000000 53000 53.039531 0.818364
2 0.000000 54000 54.309515 0.851532
2 0.000000 55000 55.576009 0.805276
2 0.000000 56000 56.850063 0.846784
2 0.000000 57000 58.114843 0.734386
2 0.000000 58000 59.393949 0.826567
2 0.000000 59000 60.689441 0.748840
2 0.000000 60000 61.973492 0.845232
2 0.000000 61000 63.255454 0.802369
2 0.000000 62000 64.532891 0.660321
2 0.000000 63000 65.809949 0.718732
2 0.000000 64000 67.087395 0.723459
2 0.000000 65000 68.359930 0.623828
2 0.000000 66000 69.643401 0.623679
2 0.000000 67000 70.923386 0.729849
2 0.000000 68000 72.201394 0.701763
2 0.000000 69000 73.472633 0.761869
2 0.000000 70000 74.746369 0.555094
2 0.000000 71000 76.019283 0.615747
2 0.000000 72000 77.291790 0.665807
2 0.000000 73000 78.583652 0.700506
2 0.000000 74000 79.864452 0.657618
2 0.000000 75000 81.143439 0.604761
2 0.000000 76000 82.422836 0.610397
2 0.000000 77000 83.698036 0.634141
2 0.000000 78000 84.974235 0.527986
2 0.000000 79000 86.261212 0.554179
2 0.000000 80000 87.558784 0.513726
2 0.000000 81000 88.843026 0.628444
2 0.000000 82000 90.133482 0.604853
2 0.000000 83000 91.403852 0.470686
2 0.000000 84000 92.678737 0.631726
2 0.000000 85000 93.951152 0.645083
2 0.000000 86000 95.232718 0.699535
2 0.000000 87000 96.519335 0.648368
