# F(k,t) correlation function
# Reference time: 0.001 ps
# lag_time_ps	F(k,t)
0.000000	677.63909416
1.000000	15.70134895
2.001000	50.36864373
3.002000	-26.24509357
4.002000	-99.01902790
5.002000	-5.79162011
6.002000	-70.32752814
7.003000	-107.45461154
8.004000	88.85560283
9.005000	-54.76208377
10.006000	-15.55532375
11.007000	32.81984780
12.008000	-27.71220935
13.009000	80.55682775
14.010000	-60.33946727
15.011000	91.07837928
16.012000	4.20519147
17.013000	10.29970572
18.014000	58.88790792
19.015000	-40.72594733
20.016000	92.42031226
21.017000	44.00093160
22.018000	58.40149699
23.019000	68.86781256
24.020000	-39.07476765
25.021000	92.23625358
26.021000	-73.81428270
27.021000	-3.80768769
28.021000	75.80377902
29.021000	-9.96435811
30.021000	18.79447738
31.021000	37.76187248
32.021000	-21.85779924
33.021000	-50.63234824
34.021000	-29.89505814
35.021000	-13.68059202
36.021000	199.94527524
37.021000	-0.09811611
38.021000	-39.36998898
39.021000	20.82008178
40.021000	18.95231506
41.021000	-5.36692850
42.021000	35.35851887
43.021000	-80.76033008
44.021000	-42.13699619
45.021000	30.56022635
46.021000	-60.69632768
47.021000	-18.89300257
48.021000	3.36082988
49.021000	26.25323164
50.021000	75.01199605
51.021000	67.13450714
52.021000	28.44420418
53.021000	-15.66374997
54.021000	-17.11901130
55.021000	81.44863427
56.021000	-33.23283871
57.021000	-65.09629037
58.021000	11.84145084
59.021000	57.60442981
60.021000	-6.38576280
61.021000	-41.41402785
62.021000	30.42677512
63.021000	78.60016501
64.021000	65.33661880
65.021000	-67.87281265
66.021000	-26.30476005
67.021000	83.10890345
68.021000	63.66953755
69.021000	15.21341670
70.021000	98.63565972
71.021000	-74.40858986
72.021000	35.73444040
73.021000	31.31092201
74.021000	109.52061228
