0.0	0	4
0.03	0p03	4
0.0	0	5
0.03	0p03	5
0.0	0	6
0.03	0p03	6
0.0	0	7
0.03	0p03	7
0.0	0	8
0.03	0p03	8
0.0	0	9
0.03	0p03	9
0.0	0	10
0.03	0p03	10
0.0	0	11
0.03	0p03	11
0.0	0	12
0.03	0p03	12
0.0	0	13
0.03	0p03	13
0.0	0	14
0.03	0p03	14
0.0	0	15
0.03	0p03	15
0.0	0	16
0.03	0p03	16
0.0	0	17
0.03	0p03	17
0.0	0	18
0.03	0p03	18
0.0	0	19
0.03	0p03	19
0.0	0	20
0.03	0p03	20
0.0	0	21
0.03	0p03	21
0.0	0	22
0.03	0p03	22
0.0	0	23
0.03	0p03	23
0.0	0	24
0.03	0p03	24
0.0	0	25
0.03	0p03	25
0.0	0	26
0.03	0p03	26
0.0	0	27
0.03	0p03	27
0.0	0	28
0.03	0p03	28
0.0	0	29
0.03	0p03	29
0.0	0	30
0.03	0p03	30
0.0	0	31
0.03	0p03	31
0.0	0	32
0.03	0p03	32
0.0	0	33
0.03	0p03	33
0.0	0	34
0.03	0p03	34
0.0	0	35
0.03	0p03	35
0.0	0	36
0.03	0p03	36
0.0	0	37
0.03	0p03	37
0.0	0	38
0.03	0p03	38
0.0	0	39
0.03	0p03	39
0.0	0	40
0.03	0p03	40
0.0	0	41
0.03	0p03	41
0.0	0	42
0.03	0p03	42
0.0	0	43
0.03	0p03	43
0.0	0	44
0.03	0p03	44
0.0	0	45
0.03	0p03	45
0.0	0	46
0.03	0p03	46
0.0	0	47
0.03	0p03	47
0.0	0	48
0.03	0p03	48
0.0	0	49
0.03	0p03	49
