# frequency_cm-1 spectrum_au
0.000000000000000000e+00 0.000000000000000000e+00
1.994349174539800928e-01 1.519816208627684500e+15
3.988698349079601857e-01 3.387154621546297500e+15
5.983047523619402508e-01 4.383675040415047000e+15
7.977396698159203714e-01 4.885188829626155000e+15
9.971745872699006030e-01 5.156267377958435000e+15
1.196609504723880502e+00 5.314194170056056000e+15
1.396044422177860733e+00 5.411677156293867000e+15
1.595479339631840743e+00 5.474254470365997000e+15
1.794914257085820974e+00 5.515282587004852000e+15
1.994349174539801206e+00 5.542230798303814000e+15
2.193784091993780994e+00 5.559520995352916000e+15
2.393219009447761003e+00 5.569901049964698000e+15
2.592653926901741013e+00 5.575151324348954000e+15
2.792088844355721466e+00 5.576468220997794000e+15
2.991523761809701476e+00 5.574682238100385000e+15
3.190958679263681486e+00 5.570387107070447000e+15
3.390393596717661939e+00 5.564018944682262000e+15
3.589828514171641949e+00 5.555906317221776000e+15
3.789263431625622403e+00 5.546302771134206000e+15
3.988698349079602412e+00 5.535408455696337000e+15
4.188133266533582422e+00 5.523384838547820000e+15
4.387568183987561987e+00 5.510364876517785000e+15
4.587003101441542441e+00 5.496460194485402000e+15
4.786438018895522006e+00 5.481766201074566000e+15
4.985872936349502460e+00 5.466365794469563000e+15
5.185307853803482026e+00 5.450332087497542000e+15
5.384742771257463367e+00 5.433730403689685000e+15
5.584177688711442933e+00 5.416619791650435000e+15
5.783612606165423387e+00 5.399054143804835000e+15
5.983047523619402952e+00 5.381083059218633000e+15
6.182482441073383406e+00 5.362752492408957000e+15
6.381917358527362971e+00 5.344105254165874000e+15
6.581352275981343425e+00 5.325181400632785000e+15
6.780787193435323879e+00 5.306018527956489000e+15
6.980222110889303444e+00 5.286652006955178000e+15
7.179657028343283898e+00 5.267115162371417000e+15
7.379091945797263463e+00 5.247439421541807000e+15
7.578526863251244805e+00 5.227654419287275000e+15
7.777961780705224371e+00 5.207788097342297000e+15
7.977396698159204824e+00 5.187866770425068000e+15
8.176831615613183502e+00 5.167915189738670000e+15
8.376266533067164843e+00 5.147956593793421000e+15
8.575701450521144409e+00 5.128012747997835000e+15
8.775136367975123974e+00 5.108103983854837000e+15
8.974571285429105316e+00 5.088249232155661000e+15
9.174006202883084882e+00 5.068466052873792000e+15
9.373441120337064447e+00 5.048770662587672000e+15
9.572876037791044013e+00 5.029177964461817000e+15
9.772310955245025355e+00 5.009701570859464000e+15
9.971745872699004920e+00 4.990353833377875000e+15
1.017118079015298449e+01 4.971145866939620000e+15
1.037061570760696405e+01 4.952087576911801000e+15
1.057005062506094717e+01 4.933187686747949000e+15
1.076948554251492673e+01 4.914453763385203000e+15
1.096892045996890630e+01 4.895892248407003000e+15
1.116835537742288587e+01 4.877508483663557000e+15
1.136779029487686543e+01 4.859306741868590000e+15
1.156722521233084677e+01 4.841290257950322000e+15
1.176666012978482634e+01 4.823461256650449000e+15
1.196609504723880590e+01 4.805820986402265000e+15
1.216552996469278547e+01 4.788369749812562000e+15
1.236496488214676681e+01 4.771106936648569000e+15
1.256439979960074638e+01 4.754031057404201000e+15
1.276383471705472594e+01 4.737139775732284000e+15
1.296326963450870551e+01 4.720429945004170000e+15
1.316270455196268685e+01 4.703897640674795000e+15
1.336213946941666819e+01 4.687538198206903000e+15
1.356157438687064776e+01 4.671346247791888000e+15
1.376100930432462732e+01 4.655315751682030000e+15
1.396044422177860689e+01 4.639440040419677000e+15
1.415987913923258823e+01 4.623711853119894000e+15
1.435931405668656780e+01 4.608123373786312000e+15
1.455874897414054736e+01 4.592666271074983000e+15
1.475818389159452693e+01 4.577331738364804000e+15
1.495761880904850649e+01 4.562110534060333000e+15
1.515705372650248961e+01 4.546993021389974000e+15
1.535648864395646918e+01 4.531969211555683000e+15
1.555592356141044874e+01 4.517028803816084000e+15
1.575535847886442831e+01 4.502161229843002000e+15
1.595479339631840965e+01 4.487355694530715000e+15
1.615422831377238921e+01 4.472601221109312500e+15
1.635366323122636700e+01 4.457886693936936000e+15
1.655309814868034834e+01 4.443200903015478000e+15
1.675253306613432969e+01 4.428532587142088000e+15
1.695196798358831103e+01 4.413870480267790500e+15
1.715140290104228882e+01 4.399203353811573500e+15
1.735083781849627016e+01 4.384520062459632000e+15
1.755027273595024795e+01 4.369809587959940500e+15
1.774970765340422929e+01 4.355061083186539500e+15
1.794914257085821063e+01 4.340263915241578000e+15
1.814857748831218842e+01 4.325407708950252000e+15
1.834801240576616976e+01 4.310482389108493000e+15
1.854744732322014755e+01 4.295478221297494000e+15
1.874688224067412889e+01 4.280385852781440000e+15
1.894631715812810668e+01 4.265196351458671500e+15
1.914575207558208803e+01 4.249901243382425000e+15
1.934518699303607292e+01 4.234492549347009500e+15
1.954462191049005071e+01 4.218962818529136500e+15
1.974405682794403205e+01 4.203305162582587000e+15
1.994349174539800984e+01 4.187513284049129500e+15
2.014292666285199118e+01 4.171581506192246000e+15
2.034236158030596897e+01 4.155504798101236000e+15
2.054179649775995031e+01 4.139278798002123500e+15
2.074123141521392810e+01 4.122899833984498000e+15
2.094066633266790944e+01 4.106364941661694000e+15
2.114010125012189434e+01 4.089671878845206000e+15
2.133953616757587213e+01 4.072819137800466500e+15
2.153897108502985347e+01 4.055805953711304000e+15
2.173840600248383126e+01 4.038632310155732500e+15
2.193784091993781260e+01 4.021298941616429000e+15
2.213727583739179039e+01 4.003807332795732500e+15
2.233671075484577173e+01 3.986159714352638000e+15
2.253614567229974952e+01 3.968359056015824500e+15
2.273558058975373086e+01 3.950409055834257500e+15
2.293501550720771220e+01 3.932314127471255500e+15
2.313445042466169355e+01 3.914079383203046500e+15
2.333388534211567489e+01 3.895710614973156500e+15
2.353332025956965268e+01 3.877214272506452500e+15
2.373275517702363402e+01 3.858597438836291000e+15
2.393219009447761181e+01 3.839867803122239000e+15
2.413162501193159315e+01 3.821033631577885000e+15
2.433105992938557094e+01 3.802103736531716500e+15
2.453049484683955228e+01 3.783087442729293500e+15
2.472992976429353362e+01 3.763994553091463000e+15
2.492936468174751496e+01 3.744835312357740500e+15
2.512879959920149275e+01 3.725620369951502500e+15
2.532823451665547410e+01 3.706360741058788500e+15
2.552766943410945188e+01 3.687067768498253000e+15
2.572710435156343323e+01 3.667753082507266500e+15
2.592653926901741102e+01 3.648428560598262500e+15
2.612597418647139236e+01 3.629106288738518500e+15
2.632540910392537370e+01 3.609798519922102000e+15
2.652484402137935504e+01 3.590517636138318000e+15
2.672427893883333638e+01 3.571276108577387000e+15
2.692371385628731417e+01 3.552086459247941500e+15
2.712314877374129551e+01 3.532961223958533500e+15
2.732258369119527330e+01 3.513912915765761000e+15
2.752201860864925465e+01 3.494953989092547000e+15
2.772145352610323243e+01 3.476096806707241500e+15
2.792088844355721378e+01 3.457353605940594500e+15
2.812032336101119157e+01 3.438736468389625500e+15
2.831975827846517646e+01 3.420257289270762000e+15
2.851919319591915780e+01 3.401927750170459500e+15
2.871862811337313559e+01 3.383759291743017000e+15
2.891806303082711693e+01 3.365763089467352000e+15
2.911749794828109472e+01 3.347950029985974000e+15
2.931693286573507606e+01 3.330330689718847000e+15
2.951636778318905385e+01 3.312915314975812000e+15
2.971580270064303519e+01 3.295713803583275500e+15
2.991523761809701298e+01 3.278735688191454000e+15
3.011467253555099788e+01 3.261990121318779500e+15
3.031410745300497922e+01 3.245485861155068500e+15
3.051354237045895701e+01 3.229231259827588500e+15
3.071297728791293835e+01 3.213234252326185500e+15
3.091241220536691614e+01 3.197502346682655500e+15
3.111184712282089748e+01 3.182042615784289000e+15
3.131128204027487527e+01 3.166861689802474500e+15
3.151071695772885661e+01 3.151965750247964500e+15
3.171015187518283440e+01 3.137360524209937500e+15
3.190958679263681930e+01 3.123051280004913500e+15
3.210902171009080064e+01 3.109042823579130000e+15
