# frequency_cm-1 spectrum_au
0.000000000000000000e+00 0.000000000000000000e+00
8.339079393113203731e-02 1.013843732968515875e+15
1.667815878622640746e-01 2.467802940191171000e+15
2.501723817933960703e-01 3.360084489126298500e+15
3.335631757245281492e-01 3.846752980221144000e+15
4.169539696556601727e-01 4.122972745011636500e+15
5.003447635867921406e-01 4.290096028702577500e+15
5.837355575179242750e-01 4.397333148288717000e+15
6.671263514490562985e-01 4.469590261294555500e+15
7.505171453801883219e-01 4.520245265234436000e+15
8.339079393113203453e-01 4.556907482689201000e+15
9.172987332424523688e-01 4.584130177181707000e+15
1.000689527173584281e+00 4.604760046144894000e+15
1.084080321104716305e+00 4.620645345452315000e+15
1.167471115035848550e+00 4.633025887695480000e+15
1.250861908966980574e+00 4.642757271017235000e+15
1.334252702898112597e+00 4.650444789961484000e+15
1.417643496829244398e+00 4.656526136912934000e+15
1.501034290760376644e+00 4.661324020269988000e+15
1.584425084691508667e+00 4.665080539746514000e+15
1.667815878622640691e+00 4.667980182454671000e+15
1.751206672553772492e+00 4.670165536494438000e+15
1.834597466484904738e+00 4.671748237230419000e+15
1.917988260416036761e+00 4.672816725637799000e+15
2.001379054347168562e+00 4.673441835456571000e+15
2.084769848278300586e+00 4.673680874902129000e+15
2.168160642209432609e+00 4.673580648767038000e+15
2.251551436140565077e+00 4.673179722950203000e+15
2.334942230071697100e+00 4.672510140988461000e+15
2.418333024002828679e+00 4.671598738291942000e+15
2.501723817933961147e+00 4.670468158546625000e+15
2.585114611865093170e+00 4.669137646405135000e+15
2.668505405796225194e+00 4.667623671360833000e+15
2.751896199727356773e+00 4.665940422076399000e+15
2.835286993658488797e+00 4.664100201199333000e+15
2.918677787589621264e+00 4.662113742932278000e+15
3.002068581520753288e+00 4.659990469838104000e+15
3.085459375451884867e+00 4.657738701820255000e+15
3.168850169383017334e+00 4.655365827261221000e+15
3.252240963314149358e+00 4.652878443755796000e+15
3.335631757245281381e+00 4.650282474566263000e+15
3.419022551176412961e+00 4.647583265170201000e+15
3.502413345107544984e+00 4.644785663922115000e+15
3.585804139038677452e+00 4.641894089650872000e+15
3.669194932969809475e+00 4.638912588271499000e+15
3.752585726900941498e+00 4.635844880856187000e+15
3.835976520832073522e+00 4.632694404037803000e+15
3.919367314763205545e+00 4.629464344428164000e+15
4.002758108694337125e+00 4.626157668113588000e+15
4.086148902625469148e+00 4.622777145368471000e+15
4.169539696556601172e+00 4.619325372373236000e+15
4.252930490487734083e+00 4.615804789373743000e+15
4.336321284418865218e+00 4.612217696667802000e+15
4.419712078349997242e+00 4.608566268007674000e+15
4.503102872281130153e+00 4.604852562535649000e+15
4.586493666212261289e+00 4.601078534811407000e+15
4.669884460143394200e+00 4.597246043700202000e+15
4.753275254074526224e+00 4.593356859938783000e+15
4.836666048005657359e+00 4.589412672785865000e+15
4.920056841936790271e+00 4.585415095792764000e+15
5.003447635867922294e+00 4.581365671787723000e+15
5.086838429799053429e+00 4.577265877299257000e+15
5.170229223730186341e+00 4.573117126352380000e+15
5.253620017661317476e+00 4.568920773808100000e+15
5.337010811592450388e+00 4.564678118287147000e+15
5.420401605523582411e+00 4.560390404790241000e+15
5.503792399454713546e+00 4.556058826890754000e+15
5.587183193385846458e+00 4.551684528754156000e+15
5.670573987316977593e+00 4.547268606914760000e+15
5.753964781248109617e+00 4.542812111818706000e+15
5.837355575179242528e+00 4.538316049179562000e+15
5.920746369110373664e+00 4.533781381318006000e+15
6.004137163041506575e+00 4.529209028180537000e+15
6.087527956972638599e+00 4.524599868385712000e+15
6.170918750903769734e+00 4.519954740132408000e+15
6.254309544834902646e+00 4.515274442066824000e+15
6.337700338766034669e+00 4.510559734081179000e+15
6.421091132697166692e+00 4.505811337925326000e+15
6.504481926628298716e+00 4.501029938062654500e+15
6.587872720559429851e+00 4.496216182152558000e+15
6.671263514490562763e+00 4.491370681835623500e+15
6.754654308421694786e+00 4.486494013221778500e+15
6.838045102352825921e+00 4.481586717560470500e+15
6.921435896283958833e+00 4.476649301776984000e+15
7.004826690215089968e+00 4.471682239118761500e+15
7.088217484146222880e+00 4.466685969681036500e+15
7.171608278077354903e+00 4.461660901065368000e+15
7.254999072008486038e+00 4.456607408920760000e+15
7.338389865939618950e+00 4.451525837639989000e+15
7.421780659870750974e+00 4.446416500912224000e+15
7.505171453801882997e+00 4.441279682399401000e+15
7.588562247733015020e+00 4.436115636431691500e+15
7.671953041664147044e+00 4.430924588638225500e+15
7.755343835595279067e+00 4.425706736666236000e+15
7.838734629526411091e+00 4.420462250951942000e+15
7.922125423457542226e+00 4.415191275415992000e+15
8.005516217388674249e+00 4.409893928267767000e+15
8.088907011319808049e+00 4.404570302806053000e+15
8.172297805250938296e+00 4.399220468237489500e+15
8.255688599182072096e+00 4.393844470466573000e+15
8.339079393113202343e+00 4.388442333077671500e+15
8.422470187044334367e+00 4.383014058142203500e+15
8.505860980975468166e+00 4.377559627174822500e+15
8.589251774906598413e+00 4.372079002094835000e+15
8.672642568837730437e+00 4.366572126108377500e+15
8.756033362768864237e+00 4.361038924834908000e+15
8.839424156699994484e+00 4.355479307237951000e+15
8.922814950631128283e+00 4.349893166626947000e+15
9.006205744562260307e+00 4.344280381823355000e+15
9.089596538493390554e+00 4.338640818119861000e+15
9.172987332424522577e+00 4.332974328495266500e+15
9.256378126355654601e+00 4.327280754620016500e+15
9.339768920286788401e+00 4.321559928047369500e+15
9.423159714217920424e+00 4.315811671361996500e+15
9.506550508149052447e+00 4.310035799347730500e+15
9.589941302080182695e+00 4.304232120129886000e+15
9.673332096011314718e+00 4.298400436358479500e+15
9.756722889942446741e+00 4.292540546515881000e+15
9.840113683873580541e+00 4.286652245985457000e+15
9.923504477804712565e+00 4.280735328345158500e+15
1.000689527173584459e+01 4.274789586603446500e+15
1.009028606566697484e+01 4.268814814361762000e+15
1.017367685959810686e+01 4.262810807156927500e+15
1.025706765352924066e+01 4.256777363581834500e+15
1.034045844746037268e+01 4.250714286600695000e+15
1.042384924139150471e+01 4.244621384754789500e+15
1.050724003532263495e+01 4.238498473419536000e+15
1.059063082925376698e+01 4.232345375968227500e+15
1.067402162318490078e+01 4.226161925064858500e+15
1.075741241711603280e+01 4.219947963849880000e+15
