# Energy tracking
# Output period: 100 steps
# Max timesteps: 29444
# timestep time(ps) kinetic_energy cavity_energy lj_energy temperature total_energy
7900 2.548173 0.244384 0.000168 -0.719147 102.682223 -0.474595
8000 2.601833 0.304351 0.000805 -0.719187 127.878395 -0.414031
8100 2.663286 0.247855 0.000577 -0.710909 104.140629 -0.462478
8200 2.719794 0.249580 0.000844 -0.722191 104.865717 -0.471767
8300 2.775802 0.243858 0.000426 -0.707826 102.461217 -0.463542
8400 2.834477 0.237017 0.000512 -0.705059 99.586884 -0.467530
8500 2.890862 0.228024 0.000084 -0.715009 95.808570 -0.486900
8600 2.947124 0.242676 0.000158 -0.711037 101.964513 -0.468203
8700 3.007501 0.302029 0.000144 -0.704412 126.903011 -0.402239
8800 3.074653 0.273679 0.000236 -0.711458 114.991324 -0.437543
8900 3.138425 0.300120 0.000120 -0.714765 126.100951 -0.414524
9000 3.205141 0.243572 0.000040 -0.710886 102.341164 -0.467274
9100 3.266855 0.316919 0.000388 -0.719034 133.159367 -0.401726
9200 3.336125 0.301287 0.000389 -0.709658 126.591217 -0.407982
9300 3.407179 0.336463 0.000257 -0.708929 141.371158 -0.372209
9400 3.485801 0.303780 0.000496 -0.704128 127.638625 -0.399852
9500 3.557100 0.335542 0.000296 -0.711957 140.984046 -0.376119
9600 3.637704 0.284090 0.000130 -0.714718 119.365415 -0.430498
9700 3.704327 0.227480 0.000131 -0.708286 95.579606 -0.480676
9800 3.768461 0.233723 0.000420 -0.712260 98.202889 -0.478118
9900 3.832984 0.238000 0.000422 -0.712763 99.999811 -0.474342
10000 3.898815 0.289415 0.000289 -0.709493 121.603092 -0.419788
10100 3.973340 0.326409 0.000189 -0.716314 137.146797 -0.389715
10200 4.050496 0.340023 0.000550 -0.721214 142.866833 -0.380641
10300 4.135706 0.331070 0.000315 -0.712417 139.105045 -0.381032
10400 4.222108 0.317970 0.000159 -0.712287 133.600979 -0.394157
10500 4.301185 0.288251 0.000539 -0.701493 121.113702 -0.412703
10600 4.373443 0.236524 0.000408 -0.707759 99.379660 -0.470827
