# Density autocorrelation tracking
# Output period: 1000 steps
# Reference interval: 294449 steps
# kmag = 1.0, num_wavevectors = 50
# t0_step t0(ps) t_step t(ps) F(k,t)
588900 708.415428 589000 708.538199 1.878528
588900 708.415428 590000 709.713692 1.763291
588900 708.415428 591000 710.859226 1.807533
588900 708.415428 592000 712.073976 1.700608
588900 708.415428 593000 713.231967 1.858043
588900 708.415428 594000 714.398710 1.772806
588900 708.415428 595000 715.533505 1.786726
588900 708.415428 596000 716.668503 1.814279
588900 708.415428 597000 717.861907 1.689649
588900 708.415428 598000 719.082213 1.770898
588900 708.415428 599000 720.267597 1.773801
588900 708.415428 600000 721.447986 1.846655
588900 708.415428 601000 722.639000 1.777510
588900 708.415428 602000 723.788793 1.752736
588900 708.415428 603000 724.973504 1.754349
588900 708.415428 604000 726.113365 1.723933
588900 708.415428 605000 727.287526 1.853691
588900 708.415428 606000 728.461308 1.782079
588900 708.415428 607000 729.621403 1.715032
588900 708.415428 608000 730.764984 1.736290
588900 708.415428 609000 731.932592 1.740244
588900 708.415428 610000 733.107647 1.768172
588900 708.415428 611000 734.274909 1.722941
588900 708.415428 612000 735.442144 1.778963
588900 708.415428 613000 736.615548 1.719867
588900 708.415428 614000 737.759685 1.737674
588900 708.415428 615000 738.926728 1.757642
588900 708.415428 616000 740.080160 1.849013
588900 708.415428 617000 741.240772 1.596097
588900 708.415428 618000 742.406561 1.792577
588900 708.415428 619000 743.599016 1.803275
588900 708.415428 620000 744.797405 1.744083
588900 708.415428 621000 745.987013 1.656878
588900 708.415428 622000 747.176125 1.619918
588900 708.415428 623000 748.366292 1.746812
588900 708.415428 624000 749.553604 1.673818
588900 708.415428 625000 750.752528 1.585691
588900 708.415428 626000 751.956825 1.652978
588900 708.415428 627000 753.162403 1.694779
588900 708.415428 628000 754.351017 1.594078
588900 708.415428 629000 755.535877 1.681544
588900 708.415428 630000 756.724806 1.737318
588900 708.415428 631000 757.926112 1.797870
588900 708.415428 632000 759.110690 1.736488
588900 708.415428 633000 760.318462 1.652143
588900 708.415428 634000 761.521880 1.623001
588900 708.415428 635000 762.719188 1.686773
588900 708.415428 636000 763.917366 1.678350
588900 708.415428 637000 765.081707 1.685704
588900 708.415428 638000 766.267419 1.737555
588900 708.415428 639000 767.466741 1.685424
588900 708.415428 640000 768.661042 1.691876
588900 708.415428 641000 769.848409 1.682460
588900 708.415428 642000 771.025734 1.782159
588900 708.415428 643000 772.224712 1.720816
588900 708.415428 644000 773.414471 1.827696
588900 708.415428 645000 774.600015 1.727935
588900 708.415428 646000 775.790496 1.683771
588900 708.415428 647000 776.969821 1.652342
588900 708.415428 648000 778.142125 1.902384
588900 708.415428 649000 779.330029 1.849991
588900 708.415428 650000 780.520688 1.821717
588900 708.415428 651000 781.706358 1.779340
588900 708.415428 652000 782.895244 1.749178
588900 708.415428 653000 784.080573 1.815609
588900 708.415428 654000 785.270570 1.743985
588900 708.415428 655000 786.456230 1.776478
588900 708.415428 656000 787.636558 1.732737
588900 708.415428 657000 788.807030 1.737646
588900 708.415428 658000 789.982186 1.641046
588900 708.415428 659000 791.162467 1.763326
588900 708.415428 660000 792.343881 1.810060
588900 708.415428 661000 793.521184 1.650342
588900 708.415428 662000 794.701901 1.631887
588900 708.415428 663000 795.873894 1.650666
588900 708.415428 664000 797.045302 1.634946
588900 708.415428 665000 798.218595 1.685486
588900 708.415428 666000 799.373834 1.643373
588900 708.415428 667000 800.516713 1.598846
588900 708.415428 668000 801.649901 1.653115
588900 708.415428 669000 802.784031 1.557311
588900 708.415428 670000 803.920270 1.590837
588900 708.415428 671000 805.063568 1.635051
588900 708.415428 672000 806.211469 1.632017
588900 708.415428 673000 807.350646 1.605237
588900 708.415428 674000 808.541436 1.612527
588900 708.415428 675000 809.712407 1.678322
588900 708.415428 676000 810.885583 1.567147
588900 708.415428 677000 812.046801 1.440521
588900 708.415428 678000 813.214676 1.594238
588900 708.415428 679000 814.383703 1.567258
588900 708.415428 680000 815.553122 1.593117
588900 708.415428 681000 816.737648 1.561595
588900 708.415428 682000 817.934632 1.601180
588900 708.415428 683000 819.101928 1.662450
588900 708.415428 684000 820.244395 1.541075
588900 708.415428 685000 821.409438 1.634348
588900 708.415428 686000 822.556789 1.675377
588900 708.415428 687000 823.736133 1.640132
588900 708.415428 688000 824.911798 1.750684
