# Density autocorrelation tracking
# Output period: 1000 steps
# Reference interval: 294449 steps
# kmag = 1.0, num_wavevectors = 50
# t0_step t0(ps) t_step t(ps) F(k,t)
294451 351.882367 295000 352.545230 1.606168
294451 351.882367 296000 353.784264 1.671686
294451 351.882367 297000 355.027094 1.466977
294451 351.882367 298000 356.258814 1.431112
294451 351.882367 299000 357.480352 1.498295
294451 351.882367 300000 358.747133 1.537287
294451 351.882367 301000 359.992235 1.541277
294451 351.882367 302000 361.230745 1.506982
294451 351.882367 303000 362.475079 1.498163
294451 351.882367 304000 363.690617 1.506009
294451 351.882367 305000 364.922009 1.424726
294451 351.882367 306000 366.170757 1.440701
294451 351.882367 307000 367.414083 1.515969
294451 351.882367 308000 368.647728 1.398473
294451 351.882367 309000 369.874555 1.430825
294451 351.882367 310000 371.113425 1.207122
294451 351.882367 311000 372.346033 1.364583
294451 351.882367 312000 373.584758 1.331937
294451 351.882367 313000 374.850073 1.346795
294451 351.882367 314000 376.123342 1.340003
294451 351.882367 315000 377.396395 1.355932
294451 351.882367 316000 378.670359 1.361202
294451 351.882367 317000 379.925844 1.486272
294451 351.882367 318000 381.171690 1.338215
294451 351.882367 319000 382.405277 1.436068
294451 351.882367 320000 383.652001 1.485875
294451 351.882367 321000 384.906670 1.353672
294451 351.882367 322000 386.176649 1.374132
294451 351.882367 323000 387.446732 1.342280
294451 351.882367 324000 388.696235 1.271328
294451 351.882367 325000 389.963581 1.264980
294451 351.882367 326000 391.218731 1.343530
294451 351.882367 327000 392.493551 1.303619
294451 351.882367 328000 393.742244 1.306546
294451 351.882367 329000 394.983711 1.400563
294451 351.882367 330000 396.237249 1.296617
294451 351.882367 331000 397.454454 1.441892
294451 351.882367 332000 398.677594 1.454853
294451 351.882367 333000 399.927573 1.420548
294451 351.882367 334000 401.162736 1.469569
294451 351.882367 335000 402.397672 1.512515
294451 351.882367 336000 403.667449 1.475487
294451 351.882367 337000 404.902075 1.429910
294451 351.882367 338000 406.148088 1.407700
294451 351.882367 339000 407.381234 1.387673
294451 351.882367 340000 408.592140 1.433410
294451 351.882367 341000 409.799858 1.475219
294451 351.882367 342000 411.006672 1.425865
294451 351.882367 343000 412.270168 1.337486
294451 351.882367 344000 413.515485 1.402127
294451 351.882367 345000 414.744370 1.339375
294451 351.882367 346000 415.952915 1.346265
294451 351.882367 347000 417.160634 1.274544
294451 351.882367 348000 418.365881 1.323829
294451 351.882367 349000 419.576715 1.269196
294451 351.882367 350000 420.783841 1.406626
294451 351.882367 351000 421.989046 1.364241
294451 351.882367 352000 423.193138 1.436856
294451 351.882367 353000 424.400725 1.428343
294451 351.882367 354000 425.609638 1.414923
294451 351.882367 355000 426.811373 1.465905
294451 351.882367 356000 428.015419 1.364378
294451 351.882367 357000 429.221818 1.500376
294451 351.882367 358000 430.445374 1.387062
294451 351.882367 359000 431.653967 1.497425
294451 351.882367 360000 432.866973 1.549138
